channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
80,1,224,224,80,3,3,1,2
80,2,224,224,80,3,3,1,2
80,3,224,224,80,3,3,1,2
80,4,224,224,80,3,3,1,2
80,5,224,224,80,3,3,1,2
80,6,224,224,80,3,3,1,2
80,7,224,224,80,3,3,1,2
80,8,224,224,80,3,3,1,2
80,9,224,224,80,3,3,1,2
80,10,224,224,80,3,3,1,2
80,11,224,224,80,3,3,1,2
80,12,224,224,80,3,3,1,2
80,13,224,224,80,3,3,1,2
80,14,224,224,80,3,3,1,2
80,15,224,224,80,3,3,1,2
80,16,224,224,80,3,3,1,2
