name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,57,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,conv,8049752,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,gemmprelu,7698266,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,terna2row,349450,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,alloc,152,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,conv,23843836,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,gemmprelu,23483305,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,terna2row,358093,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,alloc,273,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,conv,8718646,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,gemmprelu,8564351,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,terna2row,152037,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,alloc,153,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,conv,17486023,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,gemmprelu,17335004,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,terna2row,149016,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,alloc,91,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,conv,7187347,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,gemmprelu,7121329,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,terna2row,64388,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,alloc,88,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,conv,13883925,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,gemmprelu,13816514,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,terna2row,65323,256,1,512,14,14,3,3,1,1,514448
