name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,1409,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,conv,57131070,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,gemmprelu,55466644,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,terna2row,1660627,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,alloc,2004,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,conv,152490127,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,gemmprelu,150316082,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,terna2row,2169491,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,alloc,23455,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,conv,406579706,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,gemmprelu,399384221,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,terna2row,7158520,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,alloc,19915,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,conv,581018602,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,gemmprelu,573787168,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,terna2row,7204495,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,alloc,7181,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,conv,885250529,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,gemmprelu,875734842,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,terna2row,9482782,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,alloc,44232,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,conv,1511862945,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,gemmprelu,1487459133,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,terna2row,23583224,512,1,256,56,56,11,11,3,1,44648592
