name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,2096,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,conv,26751025,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,gemmprelu,22739842,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,terna2row,4006291,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,alloc,2805,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,conv,50751560,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,gemmprelu,43263781,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,terna2row,7483231,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,alloc,2484,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,conv,82160554,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,gemmprelu,70328558,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,terna2row,11821135,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,alloc,47859,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,conv,133393450,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,gemmprelu,99309375,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,terna2row,33240905,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,alloc,48319,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,conv,252680773,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,gemmprelu,190933573,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,terna2row,60749248,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,alloc,45469,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,conv,440920036,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,gemmprelu,323744202,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,terna2row,115910365,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,alloc,48021,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,conv,837082518,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,gemmprelu,594512855,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,terna2row,240750101,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,alloc,50922,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,conv,1757607562,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,gemmprelu,1255052488,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,terna2row,499588202,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,alloc,52059,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,conv,3729869473,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,gemmprelu,2715552915,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,terna2row,1008879244,16384,2,16,128,128,3,3,1,1,1210056848
