name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,65,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,conv,5618803,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,gemmprelu,4795194,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,terna2row,821479,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,alloc,826,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,conv,11675857,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,gemmprelu,9999888,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,terna2row,1673805,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,alloc,1343,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,conv,34516781,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,gemmprelu,30911092,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,terna2row,3602850,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,alloc,198066,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,conv,81310666,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,gemmprelu,71219310,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,terna2row,10048571,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,alloc,67236,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,conv,148219519,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,gemmprelu,128284940,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,terna2row,19889229,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,alloc,54468,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,conv,333660261,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,gemmprelu,289433092,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,terna2row,43315487,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,alloc,96553,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,conv,579269800,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,gemmprelu,506011043,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,terna2row,71633094,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,alloc,108625,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,conv,2280577776,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,gemmprelu,2004860455,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,terna2row,272764792,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,alloc,104179,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,conv,9100636867,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,gemmprelu,8000755394,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,terna2row,1091043786,32,2,16,2048,2048,3,3,1,1,1744830608
