name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx512,TNN,alloc,66,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,conv,418136,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,gemmprelu,412208,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,terna2row,3721,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx2,TNN,alloc,190,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx2,TNN,conv,1643804,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx2,TNN,gemmprelu,1634997,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx2,TNN,terna2row,6575,2000,2,4000,1,1,1,1,0,1,33168
t2r_gemmLU,TNN,alloc,65,2000,2,4000,1,1,1,1,0,1,33168
t2r_gemmLU,TNN,conv,889221,2000,2,4000,1,1,1,1,0,1,33168
t2r_gemmLU,TNN,gemmprelu,859143,2000,2,4000,1,1,1,1,0,1,33168
t2r_gemmLU,TNN,terna2row,28264,2000,2,4000,1,1,1,1,0,1,33168
data_order_nhwc_tensor_macro1,TNN,alloc,70,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc_tensor_macro1,TNN,conv,868979,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc_tensor_macro1,TNN,gemm,799389,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc_tensor_macro1,TNN,im2row,1114,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc_tensor_macro1,TNN,prelu,34995,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc_tensor_macro1,TNN,ternarize,29537,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,alloc,351,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,conv,4452421,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,gemm,4342848,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,im2row,4038,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,prelu,59804,2000,2,4000,1,1,1,1,0,1,98336
data_order_nhwc,TNN,ternarize,40329,2000,2,4000,1,1,1,1,0,1,98336
original,TNN,alloc,1081,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,conv,1127669,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,gemm,1041280,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,im2row,523,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,prelu,51694,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,ternarize,28349,2000,2,4000,1,1,1,1,0,1,32072
best_impl_avx512,TNN,alloc,312,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,conv,2442807,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,gemmprelu,2431559,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,terna2row,8321,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx2,TNN,alloc,280,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx2,TNN,conv,5354384,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx2,TNN,gemmprelu,5339649,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx2,TNN,terna2row,11083,4000,2,8000,1,1,1,1,0,1,66160
t2r_gemmLU,TNN,alloc,368,4000,2,8000,1,1,1,1,0,1,66160
t2r_gemmLU,TNN,conv,3778894,4000,2,8000,1,1,1,1,0,1,66160
t2r_gemmLU,TNN,gemmprelu,3665604,4000,2,8000,1,1,1,1,0,1,66160
t2r_gemmLU,TNN,terna2row,109750,4000,2,8000,1,1,1,1,0,1,66160
data_order_nhwc_tensor_macro1,TNN,alloc,164,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc_tensor_macro1,TNN,conv,3600143,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc_tensor_macro1,TNN,gemm,3443098,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc_tensor_macro1,TNN,im2row,2094,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc_tensor_macro1,TNN,prelu,86236,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc_tensor_macro1,TNN,ternarize,63748,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,alloc,407,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,conv,15017874,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,gemm,14767817,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,im2row,5452,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,prelu,142369,4000,2,8000,1,1,1,1,0,1,196320
data_order_nhwc,TNN,ternarize,96327,4000,2,8000,1,1,1,1,0,1,196320
original,TNN,alloc,586,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,conv,4377074,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,gemm,4204197,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,im2row,579,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,prelu,110887,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,ternarize,57304,4000,2,8000,1,1,1,1,0,1,64072
best_impl_avx512,TNN,alloc,96,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,conv,6275410,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,gemmprelu,6263308,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,terna2row,9596,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx2,TNN,alloc,735,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx2,TNN,conv,12642437,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx2,TNN,gemmprelu,12606738,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx2,TNN,terna2row,27509,8000,2,16000,1,1,1,1,0,1,132144
t2r_gemmLU,TNN,alloc,532,8000,2,16000,1,1,1,1,0,1,132144
t2r_gemmLU,TNN,conv,13058336,8000,2,16000,1,1,1,1,0,1,132144
t2r_gemmLU,TNN,gemmprelu,12912940,8000,2,16000,1,1,1,1,0,1,132144
t2r_gemmLU,TNN,terna2row,139293,8000,2,16000,1,1,1,1,0,1,132144
data_order_nhwc_tensor_macro1,TNN,alloc,507,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc_tensor_macro1,TNN,conv,13771860,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc_tensor_macro1,TNN,gemm,13457647,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc_tensor_macro1,TNN,im2row,4402,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc_tensor_macro1,TNN,prelu,121115,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc_tensor_macro1,TNN,ternarize,180546,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,alloc,636,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,conv,57468815,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,gemm,56905946,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,im2row,9524,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,prelu,252765,8000,2,16000,1,1,1,1,0,1,392288
data_order_nhwc,TNN,ternarize,291986,8000,2,16000,1,1,1,1,0,1,392288
original,TNN,alloc,2554,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,conv,16735165,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,gemm,16306707,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,im2row,1498,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,prelu,220701,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,ternarize,195197,8000,2,16000,1,1,1,1,0,1,128072
best_impl_avx512,TNN,alloc,157,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,conv,19835508,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,gemmprelu,19813928,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,terna2row,17774,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx2,TNN,alloc,208,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx2,TNN,conv,44400144,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx2,TNN,gemmprelu,44368743,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx2,TNN,terna2row,27501,16000,2,32000,1,1,1,1,0,1,264144
t2r_gemmLU,TNN,alloc,371,16000,2,32000,1,1,1,1,0,1,264144
t2r_gemmLU,TNN,conv,50467118,16000,2,32000,1,1,1,1,0,1,264144
t2r_gemmLU,TNN,gemmprelu,49774085,16000,2,32000,1,1,1,1,0,1,264144
t2r_gemmLU,TNN,terna2row,688096,16000,2,32000,1,1,1,1,0,1,264144
data_order_nhwc_tensor_macro1,TNN,alloc,301,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc_tensor_macro1,TNN,conv,49573491,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc_tensor_macro1,TNN,gemm,48828679,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc_tensor_macro1,TNN,im2row,6366,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc_tensor_macro1,TNN,prelu,98462,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc_tensor_macro1,TNN,ternarize,634001,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,alloc,481,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,conv,227007620,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,gemm,225838922,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,im2row,18760,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,prelu,217922,16000,2,32000,1,1,1,1,0,1,784288
data_order_nhwc,TNN,ternarize,924241,16000,2,32000,1,1,1,1,0,1,784288
original,TNN,alloc,657,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,conv,60894580,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,gemm,59937575,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,im2row,1536,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,prelu,298835,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,ternarize,651392,16000,2,32000,1,1,1,1,0,1,256072
