name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,36,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,conv,8038200,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,gemmprelu,7683242,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,terna2row,353038,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,alloc,83,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,conv,24417943,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,gemmprelu,24059781,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,terna2row,355970,64,1,128,56,56,3,3,1,1,2057360
best_impl_avx2,TNN,alloc,48,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,conv,8864570,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,gemmprelu,8713484,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,terna2row,148971,128,1,128,28,28,3,3,1,1,627344
best_impl_avx2,TNN,alloc,169,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,conv,17309017,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,gemmprelu,17158024,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,terna2row,148869,128,1,256,28,28,3,3,1,1,1028752
best_impl_avx2,TNN,alloc,461168601842738779,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,conv,7202602,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,gemmprelu,7138086,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,terna2row,62807,256,1,256,14,14,3,3,1,1,313744
best_impl_avx2,TNN,alloc,50,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,conv,13990201,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,gemmprelu,13924458,256,1,512,14,14,3,3,1,1,514448
best_impl_avx2,TNN,terna2row,64077,256,1,512,14,14,3,3,1,1,514448
