name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,87,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,conv,15741415,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,gemmprelu,15036703,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,terna2row,702223,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,alloc,119,64,2,128,56,56,3,3,1,1,4114576
best_impl_avx2,TNN,conv,48393712,64,2,128,56,56,3,3,1,1,4114576
best_impl_avx2,TNN,gemmprelu,47687778,64,2,128,56,56,3,3,1,1,4114576
best_impl_avx2,TNN,terna2row,703703,64,2,128,56,56,3,3,1,1,4114576
best_impl_avx2,TNN,alloc,148,128,2,128,28,28,3,3,1,1,1254544
best_impl_avx2,TNN,conv,17396842,128,2,128,28,28,3,3,1,1,1254544
best_impl_avx2,TNN,gemmprelu,17093646,128,2,128,28,28,3,3,1,1,1254544
best_impl_avx2,TNN,terna2row,301159,128,2,128,28,28,3,3,1,1,1254544
best_impl_avx2,TNN,alloc,167,128,2,256,28,28,3,3,1,1,2057360
best_impl_avx2,TNN,conv,34265213,128,2,256,28,28,3,3,1,1,2057360
best_impl_avx2,TNN,gemmprelu,33963825,128,2,256,28,28,3,3,1,1,2057360
best_impl_avx2,TNN,terna2row,298755,128,2,256,28,28,3,3,1,1,2057360
best_impl_avx2,TNN,alloc,196,256,2,256,14,14,3,3,1,1,627344
best_impl_avx2,TNN,conv,14019531,256,2,256,14,14,3,3,1,1,627344
best_impl_avx2,TNN,gemmprelu,13856389,256,2,256,14,14,3,3,1,1,627344
best_impl_avx2,TNN,terna2row,160637,256,2,256,14,14,3,3,1,1,627344
best_impl_avx2,TNN,alloc,119,256,2,512,14,14,3,3,1,1,1028752
best_impl_avx2,TNN,conv,27599452,256,2,512,14,14,3,3,1,1,1028752
best_impl_avx2,TNN,gemmprelu,27470143,256,2,512,14,14,3,3,1,1,1028752
best_impl_avx2,TNN,terna2row,127257,256,2,512,14,14,3,3,1,1,1028752
