name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,802,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,conv,56200351,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,gemmprelu,54920657,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,terna2row,1277134,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,alloc,1579,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,conv,155137977,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,gemmprelu,153122479,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,terna2row,2012572,512,1,256,56,56,3,3,1,1,6824080
best_impl_avx2,TNN,alloc,3658,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,conv,425770903,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,gemmprelu,421442953,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,terna2row,4295208,512,1,256,56,56,5,5,2,1,13246608
best_impl_avx2,TNN,alloc,5211,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,conv,606517940,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,gemmprelu,599187025,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,terna2row,7277027,512,1,256,56,56,7,7,3,1,22880400
best_impl_avx2,TNN,alloc,6569,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,conv,903849693,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,gemmprelu,894254991,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,terna2row,9540011,512,1,256,56,56,9,9,3,1,33219216
best_impl_avx2,TNN,alloc,29470,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,conv,1534342716,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,gemmprelu,1511025448,512,1,256,56,56,11,11,3,1,44648592
best_impl_avx2,TNN,terna2row,22497380,512,1,256,56,56,11,11,3,1,44648592
