name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,538,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,conv,118438361,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,gemmprelu,115251295,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,terna2row,3181188,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,alloc,1648,512,2,256,56,56,3,3,1,1,13648016
best_impl_avx2,TNN,conv,250743946,512,2,256,56,56,3,3,1,1,13648016
best_impl_avx2,TNN,gemmprelu,245670724,512,2,256,56,56,3,3,1,1,13648016
best_impl_avx2,TNN,terna2row,5068695,512,2,256,56,56,3,3,1,1,13648016
best_impl_avx2,TNN,alloc,5763,512,2,256,56,56,5,5,2,1,26493072
best_impl_avx2,TNN,conv,786035609,512,2,256,56,56,5,5,2,1,26493072
best_impl_avx2,TNN,gemmprelu,777918830,512,2,256,56,56,5,5,2,1,26493072
best_impl_avx2,TNN,terna2row,8087126,512,2,256,56,56,5,5,2,1,26493072
best_impl_avx2,TNN,alloc,27302,512,2,256,56,56,7,7,3,1,45760656
best_impl_avx2,TNN,conv,1153969479,512,2,256,56,56,7,7,3,1,45760656
best_impl_avx2,TNN,gemmprelu,1130396198,512,2,256,56,56,7,7,3,1,45760656
best_impl_avx2,TNN,terna2row,22936453,512,2,256,56,56,7,7,3,1,45760656
best_impl_avx2,TNN,alloc,33238,512,2,256,56,56,9,9,3,1,66438288
best_impl_avx2,TNN,conv,1701326041,512,2,256,56,56,9,9,3,1,66438288
best_impl_avx2,TNN,gemmprelu,1668017945,512,2,256,56,56,9,9,3,1,66438288
best_impl_avx2,TNN,terna2row,32328854,512,2,256,56,56,9,9,3,1,66438288
best_impl_avx2,TNN,alloc,30891,512,2,256,56,56,11,11,3,1,89297040
best_impl_avx2,TNN,conv,2830741898,512,2,256,56,56,11,11,3,1,89297040
best_impl_avx2,TNN,gemmprelu,2786659235,512,2,256,56,56,11,11,3,1,89297040
best_impl_avx2,TNN,terna2row,43143713,512,2,256,56,56,11,11,3,1,89297040
