name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,138,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,conv,23038019,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,gemmprelu,19198812,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,terna2row,3836317,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,alloc,4805,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,conv,49853550,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,gemmprelu,42532421,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,terna2row,7264121,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx2,TNN,alloc,5145,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,conv,82721570,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,gemmprelu,70620592,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,terna2row,12061621,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx2,TNN,alloc,25427,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,conv,132570129,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,gemmprelu,99388932,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,terna2row,32436575,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx2,TNN,alloc,27728,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,conv,257048051,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,gemmprelu,195485820,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,terna2row,60651193,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx2,TNN,alloc,27555,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,conv,451471768,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,gemmprelu,332549238,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,terna2row,117762309,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx2,TNN,alloc,27370,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,conv,842172081,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,gemmprelu,599731994,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,terna2row,240747013,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx2,TNN,alloc,28699,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,conv,1759199380,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,gemmprelu,1258728340,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,terna2row,497665743,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx2,TNN,alloc,34773,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,conv,3730132942,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,gemmprelu,2716487561,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx2,TNN,terna2row,1008273977,16384,2,16,128,128,3,3,1,1,1210056848
