name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,71,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,conv,6052041,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,gemmprelu,5140947,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,terna2row,908874,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx2,TNN,alloc,125,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,conv,12051037,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,gemmprelu,10337332,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,terna2row,1711495,32,2,16,92,92,3,3,1,1,3521168
best_impl_avx2,TNN,alloc,1493,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,conv,34620801,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,gemmprelu,30988349,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,terna2row,3629933,32,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,alloc,16820,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,conv,77233000,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,gemmprelu,69183725,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,terna2row,8036413,32,2,16,192,192,3,3,1,1,15335568
best_impl_avx2,TNN,alloc,5203,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,conv,136915691,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,gemmprelu,122704566,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,terna2row,14166893,32,2,16,256,256,3,3,1,1,27263120
best_impl_avx2,TNN,alloc,26735,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,conv,330707272,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,gemmprelu,287128957,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,terna2row,42641474,32,2,16,392,392,3,3,1,1,63924368
best_impl_avx2,TNN,alloc,64024,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,conv,573036447,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,gemmprelu,500310833,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,terna2row,71045952,32,2,16,512,512,3,3,1,1,109052048
best_impl_avx2,TNN,alloc,67578,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,conv,2271616231,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,gemmprelu,1993484044,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,terna2row,275042194,32,2,16,1024,1024,3,3,1,1,436207760
best_impl_avx2,TNN,alloc,74964,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,conv,9075475288,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,gemmprelu,7971133387,32,2,16,2048,2048,3,3,1,1,1744830608
best_impl_avx2,TNN,terna2row,1095182571,32,2,16,2048,2048,3,3,1,1,1744830608
