name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx2,TNN,alloc,7985,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,conv,693794562,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,gemmprelu,676683659,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,terna2row,17024503,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,alloc,458,80,2,80,224,224,3,3,1,2,15253648
best_impl_avx2,TNN,conv,179849539,80,2,80,224,224,3,3,1,2,15253648
best_impl_avx2,TNN,gemmprelu,169783709,80,2,80,224,224,3,3,1,2,15253648
best_impl_avx2,TNN,terna2row,10061056,80,2,80,224,224,3,3,1,2,15253648
best_impl_avx2,TNN,alloc,522,80,2,80,224,224,3,3,1,3,6840144
best_impl_avx2,TNN,conv,84144865,80,2,80,224,224,3,3,1,3,6840144
best_impl_avx2,TNN,gemmprelu,75716217,80,2,80,224,224,3,3,1,3,6840144
best_impl_avx2,TNN,terna2row,8423604,80,2,80,224,224,3,3,1,3,6840144
best_impl_avx2,TNN,alloc,195,80,2,80,224,224,3,3,1,4,3813520
best_impl_avx2,TNN,conv,47322107,80,2,80,224,224,3,3,1,4,3813520
best_impl_avx2,TNN,gemmprelu,42267605,80,2,80,224,224,3,3,1,4,3813520
best_impl_avx2,TNN,terna2row,5050499,80,2,80,224,224,3,3,1,4,3813520
