name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,96111,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,conv,2734788248,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,gemmprelu,2624260754,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,terna2row,108439902,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,alloc,97336,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,conv,2726925466,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,2624532962,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,100306027,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,94999,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,2725812802,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,2624556882,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,99123964,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,alloc,96028,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,conv,2732798541,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,2624662179,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,106010827,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,alloc,93000,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,conv,2718291439,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,gemmprelu,2624768275,144,2,77,384,384,3,3,1,1,218235024
