name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,121,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,conv,11869493,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,gemmprelu,11480150,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,terna2row,387276,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,alloc,21,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,conv,11814374,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,11463688,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,348597,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,29,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,11810187,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,11459768,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,348087,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,alloc,3,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,conv,11829996,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,11462040,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,365778,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,alloc,26,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,conv,11882673,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,gemmprelu,11550557,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,terna2row,329681,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,alloc,16,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,conv,11775802,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,11466280,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,307518,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx512,TNN,alloc,16,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx512,TNN,conv,10704395,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx512,TNN,gemmprelu,10391074,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx512,TNN,terna2row,310757,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,alloc,25,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,conv,11516615,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,gemmprelu,11166583,64,1,64,56,56,3,3,1,1,1254544
best_impl_avx2,TNN,terna2row,347904,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack_popout,TNN,alloc,78,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack_popout,TNN,conv,19389206,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack_popout,TNN,gemmprelu,14205497,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack_popout,TNN,terna2row,5180894,64,1,64,56,56,3,3,1,1,1254544
avx2_popout,TNN,alloc,113,64,1,64,56,56,3,3,1,1,1254544
avx2_popout,TNN,conv,19757895,64,1,64,56,56,3,3,1,1,1254544
avx2_popout,TNN,gemmprelu,14565596,64,1,64,56,56,3,3,1,1,1254544
avx2_popout,TNN,terna2row,5189334,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack,TNN,alloc,101,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack,TNN,conv,18021034,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack,TNN,gemmprelu,12835957,64,1,64,56,56,3,3,1,1,1254544
avx2_lessunpack,TNN,terna2row,5182879,64,1,64,56,56,3,3,1,1,1254544
avx2,TNN,alloc,107,64,1,64,56,56,3,3,1,1,1254544
avx2,TNN,conv,18128225,64,1,64,56,56,3,3,1,1,1254544
avx2,TNN,gemmprelu,12943011,64,1,64,56,56,3,3,1,1,1254544
avx2,TNN,terna2row,5182658,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_unroll,TNN,alloc,76,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_unroll,TNN,conv,13530780,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_unroll,TNN,gemmprelu,8346007,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_unroll,TNN,terna2row,5182262,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU,TNN,alloc,105,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU,TNN,conv,13644637,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU,TNN,gemmprelu,8172610,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU,TNN,terna2row,5469741,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_block,TNN,alloc,123,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_block,TNN,conv,16757598,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_block,TNN,gemmprelu,11568671,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_block,TNN,terna2row,5186344,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_autoblock,TNN,alloc,94,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_autoblock,TNN,conv,16291400,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_autoblock,TNN,gemmprelu,11108539,64,1,64,56,56,3,3,1,1,1254544
t2r_gemmLU_autoblock,TNN,terna2row,5180140,64,1,64,56,56,3,3,1,1,1254544
t2r_ur_gemmLU_block,TNN,alloc,94,64,1,64,56,56,3,3,1,1,1254544
t2r_ur_gemmLU_block,TNN,conv,16381629,64,1,64,56,56,3,3,1,1,1254544
t2r_ur_gemmLU_block,TNN,gemmprelu,11558449,64,1,64,56,56,3,3,1,1,1254544
