name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,128,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,conv,23665598,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,gemmprelu,22884803,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,terna2row,778147,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,alloc,49,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,conv,23581327,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,22880006,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,698852,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,66,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,23582759,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,22882555,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,697677,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,alloc,54,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,conv,23630327,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,22889423,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,738293,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,alloc,59,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,conv,23512707,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,gemmprelu,22881628,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,terna2row,628294,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,alloc,28,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,conv,23505637,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,22882027,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,620851,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,alloc,43,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,conv,21549558,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,gemmprelu,20921918,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,terna2row,625065,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,alloc,60,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,conv,23125724,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,gemmprelu,22417510,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx2,TNN,terna2row,705727,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,alloc,114,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,conv,38952188,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,gemmprelu,28551482,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,terna2row,10397962,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,alloc,97,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,conv,39500311,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,gemmprelu,29105445,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,terna2row,10391920,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,alloc,73,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,conv,35977257,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,gemmprelu,25572423,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,terna2row,10401845,64,2,64,56,56,3,3,1,1,2508944
avx2,TNN,alloc,127,64,2,64,56,56,3,3,1,1,2508944
avx2,TNN,conv,36201588,64,2,64,56,56,3,3,1,1,2508944
avx2,TNN,gemmprelu,25808814,64,2,64,56,56,3,3,1,1,2508944
avx2,TNN,terna2row,10390108,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_unroll,TNN,alloc,93,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_unroll,TNN,conv,27102379,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_unroll,TNN,gemmprelu,16700698,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_unroll,TNN,terna2row,10398832,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU,TNN,alloc,116,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU,TNN,conv,27380492,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU,TNN,gemmprelu,16401324,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU,TNN,terna2row,10976670,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block,TNN,alloc,115,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block,TNN,conv,33347388,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block,TNN,gemmprelu,22957013,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block,TNN,terna2row,10387503,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_autoblock,TNN,alloc,112,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_autoblock,TNN,conv,32662629,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_autoblock,TNN,gemmprelu,22264541,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_autoblock,TNN,terna2row,10395347,64,2,64,56,56,3,3,1,1,2508944
t2r_ur_gemmLU_block,TNN,alloc,87,64,2,64,56,56,3,3,1,1,2508944
t2r_ur_gemmLU_block,TNN,conv,32612508,64,2,64,56,56,3,3,1,1,2508944
t2r_ur_gemmLU_block,TNN,gemmprelu,22958550,64,2,64,56,56,3,3,1,1,2508944
t2r_ur_gemmLU_block,TNN,terna2row,9651446,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx2,TNN,alloc,148,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx2,TNN,conv,38941793,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx2,TNN,gemmprelu,28536073,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx2,TNN,terna2row,10402632,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx512,TNN,alloc,112,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx512,TNN,conv,31316563,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx512,TNN,gemmprelu,20916802,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_block_avx512,TNN,terna2row,10397185,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_lord,TNN,alloc,102,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_lord,TNN,conv,26674948,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_lord,TNN,gemmprelu,16274929,64,2,64,56,56,3,3,1,1,2508944
t2r_gemmLU_lord,TNN,terna2row,10397517,64,2,64,56,56,3,3,1,1,2508944
tern2row_memcpy,TNN,alloc,709,64,2,64,56,56,3,3,1,1,5720280
tern2row_memcpy,TNN,conv,28847652,64,2,64,56,56,3,3,1,1,5720280
tern2row_memcpy,TNN,gemm,11003194,64,2,64,56,56,3,3,1,1,5720280
tern2row_memcpy,TNN,prelu,7222003,64,2,64,56,56,3,3,1,1,5720280
tern2row_memcpy,TNN,terna2row,10618789,64,2,64,56,56,3,3,1,1,5720280
tern2row_cpy,TNN,alloc,90,64,2,64,56,56,3,3,1,1,5720280
tern2row_cpy,TNN,conv,28533571,64,2,64,56,56,3,3,1,1,5720280
tern2row_cpy,TNN,gemm,10993626,64,2,64,56,56,3,3,1,1,5720280
tern2row_cpy,TNN,prelu,7123891,64,2,64,56,56,3,3,1,1,5720280
tern2row_cpy,TNN,terna2row,10412647,64,2,64,56,56,3,3,1,1,5720280
tern2row,TNN,alloc,188,64,2,64,56,56,3,3,1,1,5720280
tern2row,TNN,conv,50601193,64,2,64,56,56,3,3,1,1,5720280
tern2row,TNN,gemm,10990859,64,2,64,56,56,3,3,1,1,5720280
tern2row,TNN,prelu,7119540,64,2,64,56,56,3,3,1,1,5720280
tern2row,TNN,terna2row,32487021,64,2,64,56,56,3,3,1,1,5720280
more_indirect,TNN,alloc,65,64,2,64,56,56,3,3,1,1,4975008
more_indirect,TNN,conv,47688989,64,2,64,56,56,3,3,1,1,4975008
more_indirect,TNN,gemm,24390665,64,2,64,56,56,3,3,1,1,4975008
more_indirect,TNN,im2row,8038,64,2,64,56,56,3,3,1,1,4975008
more_indirect,TNN,prelu,10332817,64,2,64,56,56,3,3,1,1,4975008
more_indirect,TNN,ternarize,12952895,64,2,64,56,56,3,3,1,1,4975008
indirect,TNN,alloc,68,64,2,64,56,56,3,3,1,1,5376416
indirect,TNN,conv,46326066,64,2,64,56,56,3,3,1,1,5376416
indirect,TNN,gemm,22924629,64,2,64,56,56,3,3,1,1,5376416
indirect,TNN,im2row,91607,64,2,64,56,56,3,3,1,1,5376416
indirect,TNN,prelu,10333758,64,2,64,56,56,3,3,1,1,5376416
indirect,TNN,ternarize,12971609,64,2,64,56,56,3,3,1,1,5376416
nhwc_tmacro2_sinline,TNN,alloc,256,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2_sinline,TNN,conv,45449769,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2_sinline,TNN,gemm,19231020,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2_sinline,TNN,im2row,503569,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2_sinline,TNN,prelu,8642235,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2_sinline,TNN,ternarize,17068576,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,alloc,39,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,conv,45789212,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,gemm,19249501,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,im2row,1023342,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,prelu,7931805,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro1_sinline,TNN,ternarize,17580244,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,alloc,48,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,conv,28390204,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,gemm,10933414,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,im2row,415177,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,prelu,7154569,64,2,64,56,56,3,3,1,1,5828000
nhwc_tmacro2,TNN,ternarize,9883073,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,alloc,54,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,conv,28628860,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,gemm,10988697,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,im2row,410121,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,prelu,7165040,64,2,64,56,56,3,3,1,1,5828000
data_order_nhwc_tensor_macro1,TNN,ternarize,10060600,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,alloc,80,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,conv,76973506,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,gemm,50867346,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,im2row,1908442,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,prelu,11175088,64,2,64,56,56,3,3,1,1,5828000
ternary_nhwc,TNN,ternarize,13017966,64,2,64,56,56,3,3,1,1,5828000
