name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,1169,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,conv,46728147,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,gemmprelu,45257033,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,terna2row,1467543,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,alloc,1094,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,conv,24170647,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,22849886,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,1317317,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,1131,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,24126176,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,22806768,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,1315835,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,alloc,1100,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,conv,24243616,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,22849210,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,1391399,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,alloc,1196,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,conv,23744569,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,gemmprelu,22833546,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,terna2row,907389,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,alloc,1081,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,conv,23687938,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,22819226,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,865553,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,alloc,1104,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,conv,14503475,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,gemmprelu,13643495,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,terna2row,857221,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,alloc,1278,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,conv,85667978,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,gemmprelu,46069057,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,terna2row,39595414,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,alloc,1505,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,conv,90514256,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,gemmprelu,50938336,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,terna2row,39572115,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,alloc,1390,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,conv,65469521,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,gemmprelu,25848626,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,terna2row,39617232,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,alloc,1323,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,conv,68131371,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,gemmprelu,28537804,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,terna2row,39589874,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,alloc,1433,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,conv,61581468,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,gemmprelu,21990673,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,terna2row,39587285,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,alloc,1237,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,conv,61907917,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,gemmprelu,20129092,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,terna2row,41775256,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,alloc,1399,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,conv,62458575,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,gemmprelu,22838917,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,terna2row,39616084,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,alloc,1326,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,conv,63485923,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,gemmprelu,23900722,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,terna2row,39581667,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,alloc,1192,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,conv,59512353,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,gemmprelu,22825382,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,terna2row,36683090,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,alloc,1316,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,conv,85527859,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,gemmprelu,45935404,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,terna2row,39588684,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx512,TNN,alloc,1143,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx512,TNN,conv,53226954,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx512,TNN,gemmprelu,13636123,512,1,256,56,56,1,1,0,1,3612816
