name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,1362,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,conv,95460361,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,gemmprelu,92425150,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,terna2row,3031126,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,alloc,1926,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,conv,91664186,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,88922452,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,2737685,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,1983,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,48212459,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,45493452,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,2714717,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,alloc,1777,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,conv,48372149,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,45497189,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,2871174,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,alloc,1614,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,conv,47362252,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,gemmprelu,45462569,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,terna2row,1895903,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,alloc,1788,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,conv,47379945,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,45545794,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,1829878,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,alloc,2209,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,conv,28904816,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,gemmprelu,27086324,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,terna2row,1815170,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,alloc,1765,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,conv,48180142,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,gemmprelu,45474728,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,terna2row,2701819,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,alloc,1810,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,conv,171084804,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,gemmprelu,91886073,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,terna2row,79194659,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,alloc,2004,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,conv,180440945,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,gemmprelu,101273209,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,terna2row,79163323,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,alloc,2248,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,conv,130889649,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,gemmprelu,51686204,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,terna2row,79199116,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,alloc,1857,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,conv,135967435,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,gemmprelu,56784269,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,terna2row,79178724,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_unroll,TNN,alloc,1894,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_unroll,TNN,conv,122956609,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_unroll,TNN,gemmprelu,43769714,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_unroll,TNN,terna2row,79183114,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU,TNN,alloc,1966,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU,TNN,conv,123707904,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU,TNN,gemmprelu,40004155,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU,TNN,terna2row,83700090,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_block,TNN,alloc,1748,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_block,TNN,conv,124696723,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_block,TNN,gemmprelu,45507215,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_block,TNN,terna2row,79185294,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_autoblock,TNN,alloc,1840,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_autoblock,TNN,conv,126807246,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_autoblock,TNN,gemmprelu,47614364,512,2,256,56,56,1,1,0,1,7225488
t2r_gemmLU_autoblock,TNN,terna2row,79189069,512,2,256,56,56,1,1,0,1,7225488
