name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,455,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,conv,1503821,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,gemmprelu,1490964,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,terna2row,9608,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,alloc,127,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,conv,817606,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,810668,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,4963,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,100,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,817147,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,810899,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,4430,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,alloc,107,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,conv,814813,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,808015,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,4970,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,alloc,94,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,conv,816006,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,gemmprelu,810562,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,terna2row,3607,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,alloc,96,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,conv,812927,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,807886,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,3343,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,alloc,91,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,conv,392139,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,gemmprelu,386591,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,terna2row,3747,2000,2,4000,1,1,1,1,0,1,33168
avx2_lessunpack_popout,TNN,alloc,79,2000,2,4000,1,1,1,1,0,1,33168
