name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,1831,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,conv,23691889,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,gemmprelu,19307452,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,terna2row,4379605,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,alloc,2111,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,conv,23267610,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,19267814,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,3995127,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,1857,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,23257517,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,19253625,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,3999694,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,alloc,1769,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,conv,23474730,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,19271430,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,4199121,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,alloc,1743,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,conv,22950962,64,2,16,128,128,3,3,1,1,6815888
