name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,57,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,conv,5695921,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,gemmprelu,4735801,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,terna2row,957994,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,alloc,80,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,conv,5531240,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,4710898,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,817946,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,68,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,5528338,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,4714056,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,812019,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,alloc,101,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,conv,5658013,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,4705953,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,949842,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,alloc,74,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,conv,5497870,32,2,16,64,64,3,3,1,1,1704080
