name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,57464,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,conv,333837865,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,gemmprelu,319284523,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,terna2row,14472968,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,alloc,44303,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,conv,334810457,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,321703750,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,13096317,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,43972,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,334245826,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,321380817,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,12854666,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,alloc,44520,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,conv,335090878,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,321169331,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,13911288,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,alloc,44205,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,conv,333481643,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,gemmprelu,321006709,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,terna2row,12464646,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,alloc,43761,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,conv,333648978,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,321124522,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,12513809,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,alloc,44585,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,conv,238644959,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,gemmprelu,226128386,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,terna2row,12505942,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,alloc,45143,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,conv,469498261,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,gemmprelu,359510121,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,terna2row,109977735,80,1,80,224,224,3,3,1,1,30507152
avx2_popout,TNN,alloc,45291,80,1,80,224,224,3,3,1,1,30507152
