name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,259871,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,conv,663034236,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,gemmprelu,636205338,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,terna2row,26747443,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,alloc,233764,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,conv,673675670,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,649509042,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,24155754,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,230032,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,671146419,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,647365590,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,23769625,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,alloc,231613,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,conv,674049103,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,648300033,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,25738584,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_gemmLU_block,TNN,alloc,230850,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_gemmLU_block,TNN,conv,669238057,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_gemmLU_block,TNN,gemmprelu,646219755,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_gemmLU_block,TNN,terna2row,23007543,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_ur_gemmLU_block,TNN,alloc,230221,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_ur_gemmLU_block,TNN,conv,669648732,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,646572681,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,23064907,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx512,TNN,alloc,230684,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx512,TNN,conv,472227094,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx512,TNN,gemmprelu,449128886,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx512,TNN,terna2row,23086327,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,alloc,230124,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,conv,661823923,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,gemmprelu,637982000,80,2,80,224,224,3,3,1,1,61014160
best_impl_avx2,TNN,terna2row,23830976,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack_popout,TNN,alloc,229118,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack_popout,TNN,conv,958058483,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack_popout,TNN,gemmprelu,740262012,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack_popout,TNN,terna2row,217785783,80,2,80,224,224,3,3,1,1,61014160
avx2_popout,TNN,alloc,226237,80,2,80,224,224,3,3,1,1,61014160
avx2_popout,TNN,conv,966555260,80,2,80,224,224,3,3,1,1,61014160
avx2_popout,TNN,gemmprelu,748705138,80,2,80,224,224,3,3,1,1,61014160
avx2_popout,TNN,terna2row,217839057,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack,TNN,alloc,225789,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack,TNN,conv,956627867,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack,TNN,gemmprelu,738800114,80,2,80,224,224,3,3,1,1,61014160
avx2_lessunpack,TNN,terna2row,217816646,80,2,80,224,224,3,3,1,1,61014160
avx2,TNN,alloc,225983,80,2,80,224,224,3,3,1,1,61014160
avx2,TNN,conv,988530957,80,2,80,224,224,3,3,1,1,61014160
avx2,TNN,gemmprelu,770564940,80,2,80,224,224,3,3,1,1,61014160
avx2,TNN,terna2row,217954971,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_unroll,TNN,alloc,225103,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_unroll,TNN,conv,749067915,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_unroll,TNN,gemmprelu,531268961,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_unroll,TNN,terna2row,217789071,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU,TNN,alloc,231088,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU,TNN,conv,752832695,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU,TNN,gemmprelu,527139082,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU,TNN,terna2row,225682143,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block,TNN,alloc,226229,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block,TNN,conv,863417114,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block,TNN,gemmprelu,645609901,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block,TNN,terna2row,217796562,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_autoblock,TNN,alloc,227216,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_autoblock,TNN,conv,857651869,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_autoblock,TNN,gemmprelu,639833944,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_autoblock,TNN,terna2row,217806817,80,2,80,224,224,3,3,1,1,61014160
t2r_ur_gemmLU_block,TNN,alloc,227500,80,2,80,224,224,3,3,1,1,61014160
t2r_ur_gemmLU_block,TNN,conv,852087041,80,2,80,224,224,3,3,1,1,61014160
t2r_ur_gemmLU_block,TNN,gemmprelu,647609795,80,2,80,224,224,3,3,1,1,61014160
t2r_ur_gemmLU_block,TNN,terna2row,204466211,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx2,TNN,alloc,225431,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx2,TNN,conv,957200552,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx2,TNN,gemmprelu,739427945,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx2,TNN,terna2row,217761960,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx512,TNN,alloc,224549,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx512,TNN,conv,666769227,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx512,TNN,gemmprelu,448982613,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_block_avx512,TNN,terna2row,217776695,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_lord,TNN,alloc,225869,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_lord,TNN,conv,742098371,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_lord,TNN,gemmprelu,524273905,80,2,80,224,224,3,3,1,1,61014160
t2r_gemmLU_lord,TNN,terna2row,217813422,80,2,80,224,224,3,3,1,1,61014160
tern2row_memcpy,TNN,alloc,174599,80,2,80,224,224,3,3,1,1,125239512
tern2row_memcpy,TNN,conv,799251858,80,2,80,224,224,3,3,1,1,125239512
tern2row_memcpy,TNN,gemm,450068143,80,2,80,224,224,3,3,1,1,125239512
tern2row_memcpy,TNN,prelu,129516583,80,2,80,224,224,3,3,1,1,125239512
tern2row_memcpy,TNN,terna2row,219025152,80,2,80,224,224,3,3,1,1,125239512
tern2row_cpy,TNN,alloc,178658,80,2,80,224,224,3,3,1,1,125239512
tern2row_cpy,TNN,conv,798095644,80,2,80,224,224,3,3,1,1,125239512
tern2row_cpy,TNN,gemm,450160063,80,2,80,224,224,3,3,1,1,125239512
tern2row_cpy,TNN,prelu,129509230,80,2,80,224,224,3,3,1,1,125239512
tern2row_cpy,TNN,terna2row,217788433,80,2,80,224,224,3,3,1,1,125239512
tern2row,TNN,alloc,170674,80,2,80,224,224,3,3,1,1,125239512
tern2row,TNN,conv,1523401164,80,2,80,224,224,3,3,1,1,125239512
tern2row,TNN,gemm,450350673,80,2,80,224,224,3,3,1,1,125239512
tern2row,TNN,prelu,129600088,80,2,80,224,224,3,3,1,1,125239512
tern2row,TNN,terna2row,942807069,80,2,80,224,224,3,3,1,1,125239512
more_indirect,TNN,alloc,51517,80,2,80,224,224,3,3,1,1,100409888
more_indirect,TNN,conv,1167763622,80,2,80,224,224,3,3,1,1,100409888
more_indirect,TNN,gemm,698433418,80,2,80,224,224,3,3,1,1,100409888
more_indirect,TNN,im2row,1107281,80,2,80,224,224,3,3,1,1,100409888
more_indirect,TNN,prelu,185271840,80,2,80,224,224,3,3,1,1,100409888
more_indirect,TNN,ternarize,282300976,80,2,80,224,224,3,3,1,1,100409888
indirect,TNN,alloc,53159,80,2,80,224,224,3,3,1,1,106832416
indirect,TNN,conv,1174437824,80,2,80,224,224,3,3,1,1,106832416
indirect,TNN,gemm,702482972,80,2,80,224,224,3,3,1,1,106832416
indirect,TNN,im2row,3584821,80,2,80,224,224,3,3,1,1,106832416
indirect,TNN,prelu,185313852,80,2,80,224,224,3,3,1,1,106832416
indirect,TNN,ternarize,282399925,80,2,80,224,224,3,3,1,1,106832416
nhwc_tmacro2_sinline,TNN,alloc,66532,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2_sinline,TNN,conv,1263158915,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2_sinline,TNN,gemm,736867309,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2_sinline,TNN,im2row,15569774,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2_sinline,TNN,prelu,158712981,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2_sinline,TNN,ternarize,349136181,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,alloc,66366,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,conv,1241495926,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,gemm,737683814,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,im2row,26648694,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,prelu,143807025,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro1_sinline,TNN,ternarize,330483070,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,alloc,65563,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,conv,797930825,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,gemm,443138660,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,im2row,17449637,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,prelu,131499843,80,2,80,224,224,3,3,1,1,128508448
nhwc_tmacro2,TNN,ternarize,202987248,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,alloc,66734,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,conv,799472584,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,gemm,442553758,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,im2row,16995183,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,prelu,131541100,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc_tensor_macro1,TNN,ternarize,205517855,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,alloc,64900,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,conv,2547628193,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,gemm,2000413356,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,im2row,67653789,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,prelu,200859261,80,2,80,224,224,3,3,1,1,128508448
ternary_nhwc,TNN,ternarize,275849844,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc,TNN,alloc,65128,80,2,80,224,224,3,3,1,1,128508448
data_order_nhwc,TNN,conv,2645729187,80,2,80,224,224,3,3,1,1,128508448
