name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
data_order_nhwc,TNN,alloc,1047,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,conv,147033901,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,gemm,66052828,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,im2row,9987537,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,prelu,3272996,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,ternarize,67713515,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,alloc,1227,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,conv,162271638,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,gemm,65863043,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,im2row,10120867,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,prelu,3270001,64,2,16,128,128,3,3,1,1,11551136
nchw,TNN,ternarize,83010700,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,alloc,3549,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,conv,297652900,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,gemm,127215805,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,im2row,19978967,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,prelu,14314283,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,ternarize,136082313,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,alloc,2067,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,conv,330451402,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,gemm,127022176,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,im2row,19808243,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,prelu,14694408,128,2,16,128,128,3,3,1,1,16810528
nchw,TNN,ternarize,168916070,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,alloc,3717,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,conv,572095699,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,gemm,246253347,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,im2row,39565601,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,prelu,14856146,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,ternarize,271366425,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,alloc,3630,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,conv,653792441,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,gemm,253677138,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,im2row,39295097,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,prelu,15279891,256,2,16,128,128,3,3,1,1,27329312
nchw,TNN,ternarize,345526231,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,alloc,26019,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,conv,1143293737,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,gemm,497427967,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,im2row,88327477,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,prelu,15028840,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,ternarize,541657377,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,alloc,25660,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,conv,1797401892,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,gemm,520045337,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,im2row,87810096,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,prelu,14752845,512,2,16,128,128,3,3,1,1,48366880
nchw,TNN,ternarize,1173940439,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,alloc,25690,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,conv,2300348728,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,gemm,1028002023,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,im2row,174076931,1024,2,16,128,128,3,3,1,1,90442016
