name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
data_order_nhwc,TNN,alloc,71,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,conv,31067158,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,gemm,16443624,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,im2row,2485913,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,prelu,786857,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,ternarize,11346664,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,alloc,71,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,conv,31920510,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,gemm,16405755,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,im2row,2487964,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,prelu,788744,32,2,16,64,64,3,3,1,1,2892192
nchw,TNN,ternarize,12233930,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,alloc,447,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,conv,69718587,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,gemm,33854724,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,im2row,5147170,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,prelu,7262148,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,ternarize,23450105,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,alloc,170,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,conv,70541674,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,gemm,33864017,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,im2row,5150148,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,prelu,7342924,32,2,16,92,92,3,3,1,1,5970848
nchw,TNN,ternarize,24180601,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,alloc,954,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,conv,135493662,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,gemm,65642375,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,im2row,10049351,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,prelu,14407485,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,ternarize,45389541,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,alloc,939,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,conv,140842077,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,gemm,65615005,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,im2row,10059174,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,prelu,14444362,32,2,16,128,128,3,3,1,1,11551136
nchw,TNN,ternarize,50717490,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,alloc,27697,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,conv,318772517,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,gemm,153046819,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,im2row,26460131,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,prelu,33775115,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,ternarize,103357514,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,alloc,27278,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,conv,326208468,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,gemm,151231241,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,im2row,26437910,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,prelu,35151656,32,2,16,192,192,3,3,1,1,25977248
nchw,TNN,ternarize,111313182,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,alloc,41673,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,conv,562702651,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,gemm,269791920,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,im2row,45659994,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,prelu,60714022,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,ternarize,183962605,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,alloc,48717,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,conv,814231799,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,gemm,269708614,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,im2row,45903797,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,prelu,59519140,32,2,16,256,256,3,3,1,1,46170528
nchw,TNN,ternarize,436457751,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,alloc,36511,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,conv,1293774741,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,gemm,627469647,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,im2row,105303944,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,prelu,133406359,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,ternarize,425893357,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,alloc,34950,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,conv,1312106123,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,gemm,626261196,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,im2row,105700575,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,prelu,130982955,32,2,16,392,392,3,3,1,1,108230048
nchw,TNN,ternarize,447484248,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,alloc,50499,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,conv,2211320273,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,gemm,1067618432,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,im2row,177747974,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,prelu,235819963,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,ternarize,727373935,32,2,16,512,512,3,3,1,1,184615328
nchw,TNN,alloc,51114,32,2,16,512,512,3,3,1,1,184615328
nchw,TNN,conv,4899868706,32,2,16,512,512,3,3,1,1,184615328
nchw,TNN,gemm,1068238472,32,2,16,512,512,3,3,1,1,184615328
nchw,TNN,im2row,177782949,32,2,16,512,512,3,3,1,1,184615328
nchw,TNN,prelu,235309412,32,2,16,512,512,3,3,1,1,184615328
