name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx512,TNN,alloc,64,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,conv,389329,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,gemmprelu,384313,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,terna2row,3382,2000,2,4000,1,1,1,1,0,1,33168
original,TNN,alloc,61,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,conv,1017944,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,gemm,945042,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,im2row,221,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,prelu,46696,2000,2,4000,1,1,1,1,0,1,32072
original,TNN,ternarize,23120,2000,2,4000,1,1,1,1,0,1,32072
best_impl_avx512,TNN,alloc,51,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,conv,1494570,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,gemmprelu,1487920,4000,2,8000,1,1,1,1,0,1,66160
best_impl_avx512,TNN,terna2row,5014,4000,2,8000,1,1,1,1,0,1,66160
original,TNN,alloc,155,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,conv,3870878,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,gemm,3724560,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,im2row,425,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,prelu,93674,4000,2,8000,1,1,1,1,0,1,64072
original,TNN,ternarize,48924,4000,2,8000,1,1,1,1,0,1,64072
best_impl_avx512,TNN,alloc,49,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,conv,5799463,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,gemmprelu,5789063,8000,2,16000,1,1,1,1,0,1,132144
best_impl_avx512,TNN,terna2row,8690,8000,2,16000,1,1,1,1,0,1,132144
original,TNN,alloc,224,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,conv,15345199,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,gemm,15059480,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,im2row,722,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,prelu,162327,8000,2,16000,1,1,1,1,0,1,128072
original,TNN,ternarize,119156,8000,2,16000,1,1,1,1,0,1,128072
best_impl_avx512,TNN,alloc,82,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,conv,18630900,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,gemmprelu,18613130,16000,2,32000,1,1,1,1,0,1,264144
best_impl_avx512,TNN,terna2row,15874,16000,2,32000,1,1,1,1,0,1,264144
original,TNN,alloc,313,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,conv,60398542,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,gemm,59537136,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,im2row,1250,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,prelu,296229,16000,2,32000,1,1,1,1,0,1,256072
original,TNN,ternarize,560292,16000,2,32000,1,1,1,1,0,1,256072
