name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx512,TNN,alloc,113,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,conv,14681762,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,gemmprelu,11224667,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,terna2row,3454047,64,2,16,128,128,3,3,1,1,6815888
original,TNN,alloc,1448,64,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,96716795,64,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,19379985,64,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,4017598,64,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,1859269,64,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,71453416,64,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,645,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,conv,38875854,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,gemmprelu,33243661,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,terna2row,5627209,128,2,16,128,128,3,3,1,1,11534480
original,TNN,alloc,697,128,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,210508687,128,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,35282345,128,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,4266050,128,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,6691677,128,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,164258476,128,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,871,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,conv,54192829,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,gemmprelu,44273157,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,terna2row,9913904,256,2,16,128,128,3,3,1,1,20971664
original,TNN,alloc,1425,256,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,679260354,256,2,16,128,128,3,3,1,1,2097224
