name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,66335,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,conv,2738053049,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,gemmprelu,2625424475,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_gemmLU_block,TNN,terna2row,110936227,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,alloc,64012,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,conv,2728387148,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,2624482031,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,102198872,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,65579,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,2726707659,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,2623894915,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,101102128,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,alloc,63713,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,conv,2735188687,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,2625578261,144,2,77,384,384,3,3,1,1,218235024
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,107895155,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,alloc,68832,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,conv,2718924589,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,gemmprelu,2623864091,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_gemmLU_block,TNN,terna2row,93357202,144,2,77,384,384,3,3,1,1,218235024
t2r_avx512u_ur_gemmLU_block,TNN,alloc,66537,144,2,77,384,384,3,3,1,1,218235024
