name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,60,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,conv,11728787,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,gemmprelu,11341426,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_gemmLU_block,TNN,terna2row,385209,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,alloc,56,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,conv,11675400,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,11325879,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,347087,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,38,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,11670069,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,11320392,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,347265,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,alloc,82,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,conv,11689037,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,11319820,64,1,64,56,56,3,3,1,1,1254544
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,366940,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,alloc,46,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,conv,11622362,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,gemmprelu,11303843,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_gemmLU_block,TNN,terna2row,316176,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,alloc,53,64,1,64,56,56,3,3,1,1,1254544
t2r_avx512u_ur_gemmLU_block,TNN,conv,11630516,64,1,64,56,56,3,3,1,1,1254544
