name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,115,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,conv,23632049,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,gemmprelu,22849632,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_gemmLU_block,TNN,terna2row,779900,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,alloc,98,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,conv,23538959,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,22837401,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,699080,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,91,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,23545090,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,22847474,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,694882,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,alloc,89,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,conv,23571466,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,22829467,64,2,64,56,56,3,3,1,1,2508944
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,739365,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,alloc,110,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,conv,23484138,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,gemmprelu,22851658,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_gemmLU_block,TNN,terna2row,629818,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,alloc,79,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,conv,23463897,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,22839654,64,2,64,56,56,3,3,1,1,2508944
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,621518,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,alloc,84,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,conv,21569986,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,gemmprelu,20943948,64,2,64,56,56,3,3,1,1,2508944
best_impl_avx512,TNN,terna2row,623432,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,alloc,137,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,conv,38868713,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,gemmprelu,28435676,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack_popout,TNN,terna2row,10430226,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,alloc,165,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,conv,39683991,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,gemmprelu,29262534,64,2,64,56,56,3,3,1,1,2508944
avx2_popout,TNN,terna2row,10418192,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,alloc,124,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,conv,36039574,64,2,64,56,56,3,3,1,1,2508944
avx2_lessunpack,TNN,gemmprelu,25613856,64,2,64,56,56,3,3,1,1,2508944
