name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,7800,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,conv,46546552,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,gemmprelu,45089117,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_gemmLU_block,TNN,terna2row,1454331,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,alloc,110,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,conv,46433343,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,45137132,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,1293685,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,85,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,46449140,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,45172152,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,1274366,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,alloc,126,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,conv,46533211,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,45182116,512,1,256,56,56,1,1,0,1,3612816
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,1348383,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,alloc,95,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,conv,46052765,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,gemmprelu,45177109,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_gemmLU_block,TNN,terna2row,873185,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,alloc,88,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,conv,46012421,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,45188660,512,1,256,56,56,1,1,0,1,3612816
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,821167,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,alloc,103,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,conv,44866777,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,gemmprelu,44042770,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx512,TNN,terna2row,821180,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,alloc,79,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,conv,45274952,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,gemmprelu,43998007,512,1,256,56,56,1,1,0,1,3612816
best_impl_avx2,TNN,terna2row,1274159,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,alloc,217,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,conv,94733154,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,gemmprelu,55001603,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack_popout,TNN,terna2row,39728602,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,alloc,199,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,conv,91963083,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,gemmprelu,52247550,512,1,256,56,56,1,1,0,1,3612816
avx2_popout,TNN,terna2row,39712802,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,alloc,180,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,conv,93558192,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,gemmprelu,53800030,512,1,256,56,56,1,1,0,1,3612816
avx2_lessunpack,TNN,terna2row,39755271,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,alloc,392,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,conv,92753685,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,gemmprelu,53042713,512,1,256,56,56,1,1,0,1,3612816
avx2,TNN,terna2row,39707502,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,alloc,169,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,conv,71719507,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,gemmprelu,31970538,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_unroll,TNN,terna2row,39746256,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,alloc,142,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,conv,72436731,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,gemmprelu,31211446,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU,TNN,terna2row,41222763,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,alloc,165,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,conv,84924447,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,gemmprelu,45206211,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block,TNN,terna2row,39715488,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,alloc,187,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,conv,81539612,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,gemmprelu,41826813,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_autoblock,TNN,terna2row,39709794,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,alloc,161,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,conv,82111807,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,gemmprelu,45258038,512,1,256,56,56,1,1,0,1,3612816
t2r_ur_gemmLU_block,TNN,terna2row,36851169,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,alloc,255,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,conv,94440208,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,gemmprelu,54729589,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx2,TNN,terna2row,39707837,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx512,TNN,alloc,172,512,1,256,56,56,1,1,0,1,3612816
t2r_gemmLU_block_avx512,TNN,conv,84188793,512,1,256,56,56,1,1,0,1,3612816
