name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,265,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,conv,95867748,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,gemmprelu,92860850,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_gemmLU_block,TNN,terna2row,3003225,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,alloc,1452,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,conv,48392156,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,45620185,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,2767856,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,222,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,48755933,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,46060461,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,2691525,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,alloc,208,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,conv,49361717,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,46517318,512,2,256,56,56,1,1,0,1,7225488
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,2840286,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,alloc,181,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,conv,48480309,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,gemmprelu,46630419,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_gemmLU_block,TNN,terna2row,1846123,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,alloc,254,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,conv,47075947,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,45312152,512,2,256,56,56,1,1,0,1,7225488
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,1759686,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,alloc,153,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,conv,28617589,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,gemmprelu,26865578,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx512,TNN,terna2row,1748457,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,alloc,220,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,conv,48005358,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,gemmprelu,45327909,512,2,256,56,56,1,1,0,1,7225488
best_impl_avx2,TNN,terna2row,2673383,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,alloc,254,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,conv,171814880,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,gemmprelu,92270332,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack_popout,TNN,terna2row,79540361,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,alloc,324,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,conv,180902377,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,gemmprelu,101367491,512,2,256,56,56,1,1,0,1,7225488
avx2_popout,TNN,terna2row,79530476,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,alloc,320,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,conv,130760439,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,gemmprelu,51313466,512,2,256,56,56,1,1,0,1,7225488
avx2_lessunpack,TNN,terna2row,79442022,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,alloc,267,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,conv,136085613,512,2,256,56,56,1,1,0,1,7225488
avx2,TNN,gemmprelu,56630753,512,2,256,56,56,1,1,0,1,7225488
