name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,103,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,conv,837664,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,gemmprelu,830558,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_gemmLU_block,TNN,terna2row,5262,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,alloc,68,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,conv,817529,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,811007,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,4723,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,66,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,816653,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,810150,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,4688,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,alloc,45,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,conv,816940,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,810568,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,4635,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,alloc,37,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,conv,814521,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,gemmprelu,809101,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_gemmLU_block,TNN,terna2row,3619,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,alloc,36,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,conv,816975,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,811957,2000,2,4000,1,1,1,1,0,1,33168
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,3295,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,alloc,38,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,conv,391403,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,gemmprelu,386298,2000,2,4000,1,1,1,1,0,1,33168
best_impl_avx512,TNN,terna2row,3389,2000,2,4000,1,1,1,1,0,1,33168
avx2_lessunpack_popout,TNN,alloc,47,2000,2,4000,1,1,1,1,0,1,33168
avx2_lessunpack_popout,TNN,conv,1190800,2000,2,4000,1,1,1,1,0,1,33168
avx2_lessunpack_popout,TNN,gemmprelu,1164669,2000,2,4000,1,1,1,1,0,1,33168
avx2_lessunpack_popout,TNN,terna2row,24283,2000,2,4000,1,1,1,1,0,1,33168
avx2_popout,TNN,alloc,69,2000,2,4000,1,1,1,1,0,1,33168
avx2_popout,TNN,conv,1123612,2000,2,4000,1,1,1,1,0,1,33168
avx2_popout,TNN,gemmprelu,1103677,2000,2,4000,1,1,1,1,0,1,33168
