name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,193,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,conv,23347764,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,gemmprelu,19129227,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_gemmLU_block,TNN,terna2row,4214925,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,alloc,1244,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,conv,35026096,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,31026666,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,3995625,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,137,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,34587191,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,30763116,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,3820870,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,alloc,149,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,conv,35052197,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,31044624,64,2,16,128,128,3,3,1,1,6815888
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,4004103,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,alloc,129,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,conv,34264258,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,gemmprelu,30767966,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_gemmLU_block,TNN,terna2row,3492650,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_ur_gemmLU_block,TNN,alloc,204,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_ur_gemmLU_block,TNN,conv,34414571,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,30984429,64,2,16,128,128,3,3,1,1,6815888
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,3427041,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,alloc,150,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,conv,31861079,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,gemmprelu,28406358,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,terna2row,3451346,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,alloc,144,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,conv,34089163,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,gemmprelu,30255507,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx2,TNN,terna2row,3829399,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack_popout,TNN,alloc,193,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack_popout,TNN,conv,92410980,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack_popout,TNN,gemmprelu,37915284,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack_popout,TNN,terna2row,54492048,64,2,16,128,128,3,3,1,1,6815888
avx2_popout,TNN,alloc,242,64,2,16,128,128,3,3,1,1,6815888
avx2_popout,TNN,conv,92972051,64,2,16,128,128,3,3,1,1,6815888
avx2_popout,TNN,gemmprelu,38468124,64,2,16,128,128,3,3,1,1,6815888
avx2_popout,TNN,terna2row,54500010,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack,TNN,alloc,308,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack,TNN,conv,89332018,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack,TNN,gemmprelu,34796533,64,2,16,128,128,3,3,1,1,6815888
avx2_lessunpack,TNN,terna2row,54531935,64,2,16,128,128,3,3,1,1,6815888
avx2,TNN,alloc,204,64,2,16,128,128,3,3,1,1,6815888
avx2,TNN,conv,89484920,64,2,16,128,128,3,3,1,1,6815888
avx2,TNN,gemmprelu,34967569,64,2,16,128,128,3,3,1,1,6815888
avx2,TNN,terna2row,54513813,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_unroll,TNN,alloc,236,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_unroll,TNN,conv,77032749,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_unroll,TNN,gemmprelu,22504658,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_unroll,TNN,terna2row,54524177,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU,TNN,alloc,252,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU,TNN,conv,78941946,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU,TNN,gemmprelu,22161240,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU,TNN,terna2row,56777201,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block,TNN,alloc,465,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block,TNN,conv,85468770,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block,TNN,gemmprelu,30928499,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block,TNN,terna2row,54536681,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_autoblock,TNN,alloc,180,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_autoblock,TNN,conv,84247988,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_autoblock,TNN,gemmprelu,29736212,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_autoblock,TNN,terna2row,54508240,64,2,16,128,128,3,3,1,1,6815888
t2r_ur_gemmLU_block,TNN,alloc,290,64,2,16,128,128,3,3,1,1,6815888
t2r_ur_gemmLU_block,TNN,conv,81695153,64,2,16,128,128,3,3,1,1,6815888
t2r_ur_gemmLU_block,TNN,gemmprelu,31034508,64,2,16,128,128,3,3,1,1,6815888
t2r_ur_gemmLU_block,TNN,terna2row,50657268,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx2,TNN,alloc,301,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx2,TNN,conv,92571083,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx2,TNN,gemmprelu,37990661,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx2,TNN,terna2row,54576799,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx512,TNN,alloc,276,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx512,TNN,conv,82992013,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx512,TNN,gemmprelu,28453737,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_block_avx512,TNN,terna2row,54534721,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_lord,TNN,alloc,189,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_lord,TNN,conv,76572624,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_lord,TNN,gemmprelu,22039914,64,2,16,128,128,3,3,1,1,6815888
t2r_gemmLU_lord,TNN,terna2row,54529112,64,2,16,128,128,3,3,1,1,6815888
tern2row_memcpy,TNN,alloc,2045,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,conv,79712609,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,gemm,15091756,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,prelu,9481230,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,terna2row,55134360,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,alloc,1359,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,conv,79326710,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,gemm,15129833,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,prelu,9507491,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,terna2row,54684074,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,alloc,1353,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,conv,245506574,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,gemm,15119036,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,prelu,9480990,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,terna2row,220900785,64,2,16,128,128,3,3,1,1,11010264
more_indirect,TNN,alloc,1148,64,2,16,128,128,3,3,1,1,7094688
more_indirect,TNN,conv,114637457,64,2,16,128,128,3,3,1,1,7094688
more_indirect,TNN,gemm,32898444,64,2,16,128,128,3,3,1,1,7094688
more_indirect,TNN,im2row,59446,64,2,16,128,128,3,3,1,1,7094688
more_indirect,TNN,prelu,13933161,64,2,16,128,128,3,3,1,1,7094688
more_indirect,TNN,ternarize,67740438,64,2,16,128,128,3,3,1,1,7094688
indirect,TNN,alloc,1004,64,2,16,128,128,3,3,1,1,9191840
indirect,TNN,conv,113036954,64,2,16,128,128,3,3,1,1,9191840
indirect,TNN,gemm,30675920,64,2,16,128,128,3,3,1,1,9191840
indirect,TNN,im2row,452598,64,2,16,128,128,3,3,1,1,9191840
indirect,TNN,prelu,14226034,64,2,16,128,128,3,3,1,1,9191840
indirect,TNN,ternarize,67676246,64,2,16,128,128,3,3,1,1,9191840
nhwc_tmacro2_sinline,TNN,alloc,1205,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,conv,129097427,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,gemm,26139207,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,im2row,2800853,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,prelu,11286668,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,ternarize,88863017,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,alloc,1271,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,conv,134630417,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,gemm,26145509,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,im2row,5518979,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,prelu,10823208,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,ternarize,92135633,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,alloc,1140,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,conv,78622472,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,gemm,15091322,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,im2row,2387721,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,prelu,9493458,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,ternarize,51642249,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,alloc,1200,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,conv,79612810,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,gemm,15130541,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,im2row,2304677,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,prelu,9509775,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,ternarize,52661058,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,alloc,1182,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,conv,158018706,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,gemm,65762954,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,im2row,10151453,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,prelu,14159556,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,ternarize,67937471,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,alloc,1262,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,conv,159027226,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,gemm,66990373,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,im2row,10158604,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,prelu,13751398,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,ternarize,68119638,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,alloc,1274,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,conv,164191407,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,gemm,26919327,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,im2row,4609776,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,prelu,11656431,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro2_sinline,TNN,ternarize,120997001,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro1_sinline,TNN,alloc,1297,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro1_sinline,TNN,conv,166496822,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro1_sinline,TNN,gemm,27349806,64,2,16,128,128,3,3,1,1,11551136
nchw_tmacro1_sinline,TNN,im2row,6954902,64,2,16,128,128,3,3,1,1,11551136
