name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,68,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,conv,5692249,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,gemmprelu,4727753,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_gemmLU_block,TNN,terna2row,962501,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,alloc,53,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,conv,8534517,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,7708694,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,823754,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,51,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,8592002,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,7772455,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,817179,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,alloc,57,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,conv,8767615,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,7804990,32,2,16,64,64,3,3,1,1,1704080
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,960217,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,alloc,40,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,conv,8571237,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,gemmprelu,7780778,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_gemmLU_block,TNN,terna2row,788266,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_ur_gemmLU_block,TNN,alloc,52,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_ur_gemmLU_block,TNN,conv,8537806,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,7762286,32,2,16,64,64,3,3,1,1,1704080
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,773168,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx512,TNN,alloc,45,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx512,TNN,conv,8096471,32,2,16,64,64,3,3,1,1,1704080
best_impl_avx512,TNN,gemmprelu,7319005,32,2,16,64,64,3,3,1,1,1704080
