name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,6784,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,conv,323567752,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,gemmprelu,313333603,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_gemmLU_block,TNN,terna2row,10143088,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,alloc,14447,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,conv,321530558,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,313108990,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,8416299,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,16401,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,321532561,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,313110750,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,8416038,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,alloc,16243,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,conv,323683178,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,314231838,80,1,80,224,224,3,3,1,1,30507152
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,9446057,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,alloc,16343,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,conv,322264584,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,gemmprelu,314243701,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_gemmLU_block,TNN,terna2row,8015184,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,alloc,16666,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,conv,320975813,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,gemmprelu,312936375,80,1,80,224,224,3,3,1,1,30507152
t2r_avx512u_ur_gemmLU_block,TNN,terna2row,8033570,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,alloc,16290,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,conv,227583680,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,gemmprelu,219533549,80,1,80,224,224,3,3,1,1,30507152
best_impl_avx512,TNN,terna2row,8045280,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,alloc,16704,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,conv,458689356,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,gemmprelu,353250361,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack_popout,TNN,terna2row,105433439,80,1,80,224,224,3,3,1,1,30507152
avx2_popout,TNN,alloc,16004,80,1,80,224,224,3,3,1,1,30507152
avx2_popout,TNN,conv,466215801,80,1,80,224,224,3,3,1,1,30507152
avx2_popout,TNN,gemmprelu,360791374,80,1,80,224,224,3,3,1,1,30507152
avx2_popout,TNN,terna2row,105419381,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack,TNN,alloc,16573,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack,TNN,conv,470062923,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack,TNN,gemmprelu,364637369,80,1,80,224,224,3,3,1,1,30507152
avx2_lessunpack,TNN,terna2row,105420104,80,1,80,224,224,3,3,1,1,30507152
avx2,TNN,alloc,16621,80,1,80,224,224,3,3,1,1,30507152
avx2,TNN,conv,481380976,80,1,80,224,224,3,3,1,1,30507152
avx2,TNN,gemmprelu,375805002,80,1,80,224,224,3,3,1,1,30507152
avx2,TNN,terna2row,105570132,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_unroll,TNN,alloc,17007,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_unroll,TNN,conv,366975373,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_unroll,TNN,gemmprelu,261405717,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_unroll,TNN,terna2row,105564246,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU,TNN,alloc,15800,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU,TNN,conv,366119525,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU,TNN,gemmprelu,255991791,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU,TNN,terna2row,110122416,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_block,TNN,alloc,13819,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_block,TNN,conv,419189470,80,1,80,224,224,3,3,1,1,30507152
t2r_gemmLU_block,TNN,gemmprelu,313510494,80,1,80,224,224,3,3,1,1,30507152
