name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
t2r_avx2u_gemmLU_block,TNN,alloc,7320,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,conv,649395781,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,gemmprelu,629642839,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_gemmLU_block,TNN,terna2row,19669007,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,alloc,2162,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,conv,646345013,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,gemmprelu,629536645,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_gemmLU_block,TNN,terna2row,16799824,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,alloc,3894,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,conv,646028205,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,gemmprelu,629438757,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_permute_ur_gemmLU_block,TNN,terna2row,16580633,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,alloc,4268,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,conv,648123251,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,gemmprelu,629420673,80,2,80,224,224,3,3,1,1,61014160
t2r_avx2u_ur_gemmLU_block,TNN,terna2row,18693608,80,2,80,224,224,3,3,1,1,61014160
t2r_avx512u_gemmLU_block,TNN,alloc,4276,80,2,80,224,224,3,3,1,1,61014160
