name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
tern2row_memcpy,TNN,alloc,1330,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,conv,72109337,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,gemm,15039760,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,prelu,1952165,64,2,16,128,128,3,3,1,1,11010264
tern2row_memcpy,TNN,terna2row,55112200,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,alloc,1834,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,conv,79665586,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,gemm,15150893,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,prelu,9901629,64,2,16,128,128,3,3,1,1,11010264
tern2row_cpy,TNN,terna2row,54608296,64,2,16,128,128,3,3,1,1,11010264
data_order_nhwc_tensor_macro1,TNN,alloc,1273,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,conv,79883505,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,gemm,15168178,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,im2row,2330076,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,prelu,9760394,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,ternarize,52618419,64,2,16,128,128,3,3,1,1,11551136
tern2row_memcpy,TNN,alloc,517,128,2,16,128,128,3,3,1,1,15728856
tern2row_memcpy,TNN,conv,144627246,128,2,16,128,128,3,3,1,1,15728856
tern2row_memcpy,TNN,gemm,28018721,128,2,16,128,128,3,3,1,1,15728856
tern2row_memcpy,TNN,prelu,9976418,128,2,16,128,128,3,3,1,1,15728856
tern2row_memcpy,TNN,terna2row,106625729,128,2,16,128,128,3,3,1,1,15728856
tern2row_cpy,TNN,alloc,1011,128,2,16,128,128,3,3,1,1,15728856
tern2row_cpy,TNN,conv,145728428,128,2,16,128,128,3,3,1,1,15728856
tern2row_cpy,TNN,gemm,28013339,128,2,16,128,128,3,3,1,1,15728856
tern2row_cpy,TNN,prelu,9910211,128,2,16,128,128,3,3,1,1,15728856
tern2row_cpy,TNN,terna2row,107798353,128,2,16,128,128,3,3,1,1,15728856
data_order_nhwc_tensor_macro1,TNN,alloc,511,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,conv,145481561,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,gemm,28037267,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,im2row,3238604,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,prelu,9916581,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,ternarize,104280570,128,2,16,128,128,3,3,1,1,16810528
tern2row_memcpy,TNN,alloc,1214,256,2,16,128,128,3,3,1,1,25166040
tern2row_memcpy,TNN,conv,273965870,256,2,16,128,128,3,3,1,1,25166040
tern2row_memcpy,TNN,gemm,55536517,256,2,16,128,128,3,3,1,1,25166040
tern2row_memcpy,TNN,prelu,9352045,256,2,16,128,128,3,3,1,1,25166040
tern2row_memcpy,TNN,terna2row,209067116,256,2,16,128,128,3,3,1,1,25166040
tern2row_cpy,TNN,alloc,1066,256,2,16,128,128,3,3,1,1,25166040
tern2row_cpy,TNN,conv,276904045,256,2,16,128,128,3,3,1,1,25166040
tern2row_cpy,TNN,gemm,55516729,256,2,16,128,128,3,3,1,1,25166040
tern2row_cpy,TNN,prelu,9351827,256,2,16,128,128,3,3,1,1,25166040
tern2row_cpy,TNN,terna2row,212025098,256,2,16,128,128,3,3,1,1,25166040
data_order_nhwc_tensor_macro1,TNN,alloc,1357,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,conv,279257118,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,gemm,55961489,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,im2row,5729723,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,prelu,9346823,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,ternarize,208205290,256,2,16,128,128,3,3,1,1,27329312
