name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
tern2row_memcpy,TNN,alloc,127,32,2,16,64,64,3,3,1,1,2752728
tern2row_memcpy,TNN,conv,12220038,32,2,16,64,64,3,3,1,1,2752728
tern2row_memcpy,TNN,gemm,4132849,32,2,16,64,64,3,3,1,1,2752728
tern2row_memcpy,TNN,prelu,452870,32,2,16,64,64,3,3,1,1,2752728
tern2row_memcpy,TNN,terna2row,7631029,32,2,16,64,64,3,3,1,1,2752728
tern2row_cpy,TNN,alloc,55,32,2,16,64,64,3,3,1,1,2752728
tern2row_cpy,TNN,conv,13797653,32,2,16,64,64,3,3,1,1,2752728
tern2row_cpy,TNN,gemm,3759815,32,2,16,64,64,3,3,1,1,2752728
tern2row_cpy,TNN,prelu,2441666,32,2,16,64,64,3,3,1,1,2752728
tern2row_cpy,TNN,terna2row,7592976,32,2,16,64,64,3,3,1,1,2752728
data_order_nhwc_tensor_macro1,TNN,alloc,100,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,conv,13630440,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,gemm,3874672,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,im2row,532215,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,prelu,2878006,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,ternarize,6341497,32,2,16,64,64,3,3,1,1,2892192
tern2row_memcpy,TNN,alloc,858,32,2,16,92,92,3,3,1,1,5688024
tern2row_memcpy,TNN,conv,28966134,32,2,16,92,92,3,3,1,1,5688024
tern2row_memcpy,TNN,gemm,7737666,32,2,16,92,92,3,3,1,1,5688024
tern2row_memcpy,TNN,prelu,5223655,32,2,16,92,92,3,3,1,1,5688024
tern2row_memcpy,TNN,terna2row,16001472,32,2,16,92,92,3,3,1,1,5688024
tern2row_cpy,TNN,alloc,65,32,2,16,92,92,3,3,1,1,5688024
tern2row_cpy,TNN,conv,28192253,32,2,16,92,92,3,3,1,1,5688024
tern2row_cpy,TNN,gemm,7754970,32,2,16,92,92,3,3,1,1,5688024
tern2row_cpy,TNN,prelu,5226139,32,2,16,92,92,3,3,1,1,5688024
