name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
best_impl_avx512,TNN,alloc,4564,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,conv,10390033,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,gemmprelu,7301725,64,2,16,128,128,3,3,1,1,6815888
best_impl_avx512,TNN,terna2row,3022480,64,2,16,128,128,3,3,1,1,6815888
original,TNN,alloc,3202,64,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,75439458,64,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,14432010,64,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,3094725,64,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,1156052,64,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,56744239,64,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,1412,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,conv,35328199,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,gemmprelu,28202412,128,2,16,128,128,3,3,1,1,11534480
best_impl_avx512,TNN,terna2row,7118545,128,2,16,128,128,3,3,1,1,11534480
original,TNN,alloc,2988,128,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,169314284,128,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,27916754,128,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,3974959,128,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,5172517,128,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,132234946,128,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,2010,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,conv,43024855,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,gemmprelu,32525250,256,2,16,128,128,3,3,1,1,20971664
best_impl_avx512,TNN,terna2row,10491365,256,2,16,128,128,3,3,1,1,20971664
original,TNN,alloc,3278,256,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,478531761,256,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,50091810,256,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,7290810,256,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,4721696,256,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,416411747,256,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,26895,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx512,TNN,conv,82294510,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx512,TNN,gemmprelu,47909085,512,2,16,128,128,3,3,1,1,39846032
best_impl_avx512,TNN,terna2row,33562940,512,2,16,128,128,3,3,1,1,39846032
original,TNN,alloc,4305,512,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,1826839434,512,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,104470949,512,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,21877724,512,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,5313194,512,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,1694377682,512,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,27508,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx512,TNN,conv,133387255,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx512,TNN,gemmprelu,75240252,1024,2,16,128,128,3,3,1,1,77594768
best_impl_avx512,TNN,terna2row,57181119,1024,2,16,128,128,3,3,1,1,77594768
original,TNN,alloc,4989,1024,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,3678099537,1024,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,207788824,1024,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,36527947,1024,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,5242546,1024,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,3427611323,1024,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,31891,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx512,TNN,conv,260319800,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx512,TNN,gemmprelu,154075620,2048,2,16,128,128,3,3,1,1,153092240
best_impl_avx512,TNN,terna2row,105034063,2048,2,16,128,128,3,3,1,1,153092240
original,TNN,alloc,5065,2048,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,7261721879,2048,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,398767178,2048,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,68898891,2048,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,4765269,2048,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,6788100178,2048,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,29531,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx512,TNN,conv,487263402,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx512,TNN,gemmprelu,279295295,4096,2,16,128,128,3,3,1,1,304087184
best_impl_avx512,TNN,terna2row,206166396,4096,2,16,128,128,3,3,1,1,304087184
original,TNN,alloc,4250,4096,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,14486407602,4096,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,806567500,4096,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,174973004,4096,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,5702784,4096,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,13497121481,4096,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,32040,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx512,TNN,conv,985819261,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx512,TNN,gemmprelu,557728510,8192,2,16,128,128,3,3,1,1,606077072
best_impl_avx512,TNN,terna2row,425220353,8192,2,16,128,128,3,3,1,1,606077072
original,TNN,alloc,5106,8192,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,29116311417,8192,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,1658659535,8192,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,374010908,8192,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,5297046,8192,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,27074960467,8192,2,16,128,128,3,3,1,1,2097224
best_impl_avx512,TNN,alloc,39360,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx512,TNN,conv,2342574831,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx512,TNN,gemmprelu,1351432549,16384,2,16,128,128,3,3,1,1,1210056848
best_impl_avx512,TNN,terna2row,984724610,16384,2,16,128,128,3,3,1,1,1210056848
original,TNN,alloc,6105,16384,2,16,128,128,3,3,1,1,2097224
original,TNN,conv,62997867080,16384,2,16,128,128,3,3,1,1,2097224
original,TNN,gemm,3489204099,16384,2,16,128,128,3,3,1,1,2097224
original,TNN,im2row,541435960,16384,2,16,128,128,3,3,1,1,2097224
original,TNN,prelu,4824715,16384,2,16,128,128,3,3,1,1,2097224
original,TNN,ternarize,58954741583,16384,2,16,128,128,3,3,1,1,2097224
