name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
tern2row,TNN,alloc,1200,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,conv,237609232,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,gemm,15028305,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,prelu,1952094,64,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,terna2row,220622689,64,2,16,128,128,3,3,1,1,11010264
data_order_nhwc_tensor_macro1,TNN,alloc,1316,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,conv,71862588,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,gemm,15126943,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,im2row,2199202,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,prelu,1946707,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,ternarize,52582922,64,2,16,128,128,3,3,1,1,11551136
tern2row,TNN,alloc,623,128,2,16,128,128,3,3,1,1,15728856
tern2row,TNN,conv,516702037,128,2,16,128,128,3,3,1,1,15728856
tern2row,TNN,gemm,28014874,128,2,16,128,128,3,3,1,1,15728856
tern2row,TNN,prelu,9735484,128,2,16,128,128,3,3,1,1,15728856
tern2row,TNN,terna2row,478945349,128,2,16,128,128,3,3,1,1,15728856
data_order_nhwc_tensor_macro1,TNN,alloc,996,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,conv,146022790,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,gemm,28036560,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,im2row,3396595,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,prelu,9790391,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,ternarize,104791141,128,2,16,128,128,3,3,1,1,16810528
tern2row,TNN,alloc,1379,256,2,16,128,128,3,3,1,1,25166040
tern2row,TNN,conv,1017675447,256,2,16,128,128,3,3,1,1,25166040
tern2row,TNN,gemm,55544459,256,2,16,128,128,3,3,1,1,25166040
tern2row,TNN,prelu,9276865,256,2,16,128,128,3,3,1,1,25166040
tern2row,TNN,terna2row,952844641,256,2,16,128,128,3,3,1,1,25166040
data_order_nhwc_tensor_macro1,TNN,alloc,1258,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,conv,277585320,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,gemm,55571560,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,im2row,5765589,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,prelu,9269518,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,ternarize,206964998,256,2,16,128,128,3,3,1,1,27329312
tern2row,TNN,alloc,19462,512,2,16,128,128,3,3,1,1,44040408
tern2row,TNN,conv,2025971933,512,2,16,128,128,3,3,1,1,44040408
tern2row,TNN,gemm,115923085,512,2,16,128,128,3,3,1,1,44040408
tern2row,TNN,prelu,9451843,512,2,16,128,128,3,3,1,1,44040408
tern2row,TNN,terna2row,1899780636,512,2,16,128,128,3,3,1,1,44040408
data_order_nhwc_tensor_macro1,TNN,alloc,23476,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,conv,562786122,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,gemm,115956399,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,im2row,19103689,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,prelu,9562064,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,ternarize,417337453,512,2,16,128,128,3,3,1,1,48366880
tern2row,TNN,alloc,19006,1024,2,16,128,128,3,3,1,1,81789144
tern2row,TNN,conv,4218387895,1024,2,16,128,128,3,3,1,1,81789144
tern2row,TNN,gemm,228667290,1024,2,16,128,128,3,3,1,1,81789144
tern2row,TNN,prelu,9793912,1024,2,16,128,128,3,3,1,1,81789144
tern2row,TNN,terna2row,3978950117,1024,2,16,128,128,3,3,1,1,81789144
data_order_nhwc_tensor_macro1,TNN,alloc,23505,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,conv,1102620604,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,gemm,228335279,1024,2,16,128,128,3,3,1,1,90442016
