name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
tern2row,TNN,alloc,95,32,2,16,64,64,3,3,1,1,2752728
tern2row,TNN,conv,27701169,32,2,16,64,64,3,3,1,1,2752728
tern2row,TNN,gemm,3759344,32,2,16,64,64,3,3,1,1,2752728
tern2row,TNN,prelu,454892,32,2,16,64,64,3,3,1,1,2752728
tern2row,TNN,terna2row,23483774,32,2,16,64,64,3,3,1,1,2752728
data_order_nhwc_tensor_macro1,TNN,alloc,98,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,conv,11595152,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,gemm,3758486,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,im2row,533544,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,prelu,453707,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,ternarize,6845360,32,2,16,64,64,3,3,1,1,2892192
tern2row,TNN,alloc,764,32,2,16,92,92,3,3,1,1,5688024
tern2row,TNN,conv,60511463,32,2,16,92,92,3,3,1,1,5688024
tern2row,TNN,gemm,7762909,32,2,16,92,92,3,3,1,1,5688024
tern2row,TNN,prelu,1013671,32,2,16,92,92,3,3,1,1,5688024
tern2row,TNN,terna2row,51731426,32,2,16,92,92,3,3,1,1,5688024
data_order_nhwc_tensor_macro1,TNN,alloc,145,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc_tensor_macro1,TNN,conv,23352868,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc_tensor_macro1,TNN,gemm,7738718,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc_tensor_macro1,TNN,im2row,1097209,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc_tensor_macro1,TNN,prelu,932734,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc_tensor_macro1,TNN,ternarize,13580264,32,2,16,92,92,3,3,1,1,5970848
tern2row,TNN,alloc,1650,32,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,conv,133956438,32,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,gemm,15171640,32,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,prelu,10005457,32,2,16,128,128,3,3,1,1,11010264
tern2row,TNN,terna2row,108774151,32,2,16,128,128,3,3,1,1,11010264
data_order_nhwc_tensor_macro1,TNN,alloc,1016,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,conv,52657401,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,gemm,15122011,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,im2row,2207661,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,prelu,9977654,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,ternarize,25344495,32,2,16,128,128,3,3,1,1,11551136
tern2row,TNN,alloc,30125,32,2,16,192,192,3,3,1,1,24772824
tern2row,TNN,conv,338660783,32,2,16,192,192,3,3,1,1,24772824
tern2row,TNN,gemm,36996231,32,2,16,192,192,3,3,1,1,24772824
tern2row,TNN,prelu,26036540,32,2,16,192,192,3,3,1,1,24772824
tern2row,TNN,terna2row,273857067,32,2,16,192,192,3,3,1,1,24772824
data_order_nhwc_tensor_macro1,TNN,alloc,103600,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc_tensor_macro1,TNN,conv,129864428,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc_tensor_macro1,TNN,gemm,36739106,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc_tensor_macro1,TNN,im2row,6601675,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc_tensor_macro1,TNN,prelu,26621688,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc_tensor_macro1,TNN,ternarize,58402935,32,2,16,192,192,3,3,1,1,25977248
tern2row,TNN,alloc,40513,32,2,16,256,256,3,3,1,1,44040408
tern2row,TNN,conv,630283137,32,2,16,256,256,3,3,1,1,44040408
tern2row,TNN,gemm,66388786,32,2,16,256,256,3,3,1,1,44040408
tern2row,TNN,prelu,43962805,32,2,16,256,256,3,3,1,1,44040408
tern2row,TNN,terna2row,517933741,32,2,16,256,256,3,3,1,1,44040408
data_order_nhwc_tensor_macro1,TNN,alloc,41499,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc_tensor_macro1,TNN,conv,231664523,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc_tensor_macro1,TNN,gemm,66848831,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc_tensor_macro1,TNN,im2row,14325681,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc_tensor_macro1,TNN,prelu,44038362,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc_tensor_macro1,TNN,ternarize,103798760,32,2,16,256,256,3,3,1,1,46170528
tern2row,TNN,alloc,37460,32,2,16,392,392,3,3,1,1,103262424
tern2row,TNN,conv,1554948858,32,2,16,392,392,3,3,1,1,103262424
