name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
nhwc_tmacro2_sinline,TNN,alloc,1075,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,conv,120014099,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,gemm,26078095,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,im2row,2621957,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,prelu,2495625,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,ternarize,88811555,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,alloc,1288,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,conv,133065238,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,gemm,26150406,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,im2row,5468075,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,prelu,9353345,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro1_sinline,TNN,ternarize,92086876,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,alloc,1199,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,conv,77899263,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,gemm,15089307,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,im2row,2405823,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,prelu,8783347,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,ternarize,51614234,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,alloc,1173,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,conv,79350514,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,gemm,15120537,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,im2row,2311663,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,prelu,9293037,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc_tensor_macro1,TNN,ternarize,52618536,64,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2_sinline,TNN,alloc,3158,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,conv,241477757,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,gemm,47600584,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,im2row,3231317,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,prelu,11721049,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,ternarize,178863933,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,alloc,1723,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,conv,250199723,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,gemm,47418574,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,im2row,6462322,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,prelu,11075103,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro1_sinline,TNN,ternarize,185235190,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,alloc,1926,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,conv,145239817,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,gemm,28183298,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,im2row,3542259,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,prelu,9881582,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2,TNN,ternarize,103624968,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,alloc,1884,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,conv,144044249,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,gemm,28181227,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,im2row,3415328,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,prelu,9370614,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc_tensor_macro1,TNN,ternarize,103068642,128,2,16,128,128,3,3,1,1,16810528
nhwc_tmacro2_sinline,TNN,alloc,5250,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,conv,466602790,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,gemm,92681369,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,im2row,5408460,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,prelu,12211252,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,ternarize,356249185,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,alloc,958,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,conv,481455445,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,gemm,92318381,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,im2row,8040095,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,prelu,11495271,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro1_sinline,TNN,ternarize,369587785,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,alloc,947,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,conv,277266203,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,gemm,55604485,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,im2row,5771328,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,prelu,10005492,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2,TNN,ternarize,205872194,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,alloc,941,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,conv,280005838,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,gemm,55592778,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,im2row,5673901,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,prelu,10021969,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc_tensor_macro1,TNN,ternarize,208702914,256,2,16,128,128,3,3,1,1,27329312
nhwc_tmacro2_sinline,TNN,alloc,22783,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,conv,919741645,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,gemm,181579941,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,im2row,14901800,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,prelu,12002119,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,ternarize,710429537,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,alloc,23780,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,conv,954113023,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,gemm,181580729,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,im2row,22458650,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,prelu,11406455,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro1_sinline,TNN,ternarize,737841065,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,alloc,22602,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,conv,552593063,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,gemm,112107681,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,im2row,19638656,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,prelu,10067546,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2,TNN,ternarize,409950710,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,alloc,23057,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,conv,562078816,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,gemm,116164765,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,im2row,19186330,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,prelu,10048780,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc_tensor_macro1,TNN,ternarize,415847308,512,2,16,128,128,3,3,1,1,48366880
nhwc_tmacro2_sinline,TNN,alloc,23107,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,conv,1827485908,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,gemm,368145838,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,im2row,27270881,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,prelu,11924107,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,ternarize,1419184770,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,alloc,24193,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,conv,1891858270,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,gemm,367484764,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,im2row,38344678,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,prelu,11403351,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro1_sinline,TNN,ternarize,1473664188,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,alloc,23340,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,conv,1093306041,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,gemm,228167364,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,im2row,36027496,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,prelu,10023441,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2,TNN,ternarize,818127301,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,alloc,24144,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,conv,1092612364,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,gemm,228475698,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,im2row,35547388,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,prelu,10015625,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc_tensor_macro1,TNN,ternarize,817614451,1024,2,16,128,128,3,3,1,1,90442016
nhwc_tmacro2_sinline,TNN,alloc,26430,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,conv,3624270543,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,gemm,725023120,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,im2row,51360924,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,prelu,9607656,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,ternarize,2837038589,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,alloc,25450,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,conv,3768417985,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,gemm,724305290,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,im2row,86992418,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,prelu,9060450,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro1_sinline,TNN,ternarize,2946831752,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,alloc,26916,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,conv,2170076358,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,gemm,450089131,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,im2row,75889425,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,prelu,8066043,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2,TNN,ternarize,1634800142,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,alloc,26291,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,conv,2199448317,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,gemm,451068362,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,im2row,75975076,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,prelu,8050539,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc_tensor_macro1,TNN,ternarize,1663117076,2048,2,16,128,128,3,3,1,1,174592288
nhwc_tmacro2_sinline,TNN,alloc,38493,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,conv,7233145614,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,gemm,1438131812,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,im2row,95969697,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,prelu,7994410,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,ternarize,5688010167,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,alloc,38192,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,conv,7538049197,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,gemm,1437443200,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,im2row,186365718,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,prelu,7511493,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro1_sinline,TNN,ternarize,5903697378,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,alloc,38820,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,conv,4392533981,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,gemm,891682552,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,im2row,212958581,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,prelu,6574172,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2,TNN,ternarize,3278280462,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,alloc,39250,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,conv,4451240989,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,gemm,891882088,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,im2row,213609036,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,prelu,6623798,4096,2,16,128,128,3,3,1,1,342892832
data_order_nhwc_tensor_macro1,TNN,ternarize,3336096624,4096,2,16,128,128,3,3,1,1,342892832
nhwc_tmacro2_sinline,TNN,alloc,40897,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2_sinline,TNN,conv,14448549046,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2_sinline,TNN,gemm,2879099680,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2_sinline,TNN,im2row,193553614,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2_sinline,TNN,prelu,10677524,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2_sinline,TNN,ternarize,11360606431,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,alloc,40452,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,conv,15078341358,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,gemm,2879287824,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,im2row,381570652,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,prelu,10254750,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro1_sinline,TNN,ternarize,11802848823,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,alloc,41767,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,conv,8794086812,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,gemm,1821477735,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,im2row,408289922,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,prelu,9060011,8192,2,16,128,128,3,3,1,1,679493920
nhwc_tmacro2,TNN,ternarize,6551181689,8192,2,16,128,128,3,3,1,1,679493920
