name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
nhwc_tmacro2_sinline,TNN,alloc,78,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,conv,19208869,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,gemm,6500491,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,im2row,652786,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,prelu,586491,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,ternarize,11464749,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,alloc,57,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,conv,17020791,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,gemm,6496787,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,im2row,1334498,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,prelu,2328633,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro1_sinline,TNN,ternarize,6856520,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,alloc,59,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,conv,13207733,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,gemm,3757038,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,im2row,541678,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,prelu,2313976,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,ternarize,6590923,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,alloc,53,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,conv,13053554,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,gemm,3744071,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,im2row,530630,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,prelu,2437084,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc_tensor_macro1,TNN,ternarize,6337940,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2_sinline,TNN,alloc,501,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2_sinline,TNN,conv,44768244,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2_sinline,TNN,gemm,13476424,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2_sinline,TNN,im2row,1364649,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2_sinline,TNN,prelu,6115867,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2_sinline,TNN,ternarize,23806452,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro1_sinline,TNN,alloc,135,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro1_sinline,TNN,conv,36101681,32,2,16,92,92,3,3,1,1,5970848
