name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
ternary_nhwc,TNN,alloc,1154,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,conv,103173430,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,gemm,46131894,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,im2row,6997491,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,prelu,2375734,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,ternarize,47661962,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,alloc,1048,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,conv,103366632,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,gemm,46398131,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,im2row,7102890,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,prelu,2320040,64,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,ternarize,47539613,64,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,alloc,2918,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,conv,209727980,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,gemm,89212937,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,im2row,14241123,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,prelu,10301642,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,ternarize,95920065,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,alloc,1950,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,conv,216174238,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,gemm,96226617,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,im2row,14100294,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,prelu,10248012,128,2,16,128,128,3,3,1,1,16810528
data_order_nhwc,TNN,ternarize,95591553,128,2,16,128,128,3,3,1,1,16810528
ternary_nhwc,TNN,alloc,4011,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,conv,408371072,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,gemm,175807019,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,im2row,28262455,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,prelu,10675625,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,ternarize,193577994,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,alloc,3119,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,conv,405549267,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,gemm,174076491,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,im2row,28112425,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,prelu,10744141,256,2,16,128,128,3,3,1,1,27329312
data_order_nhwc,TNN,ternarize,192604494,256,2,16,128,128,3,3,1,1,27329312
ternary_nhwc,TNN,alloc,25548,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,conv,808034477,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,gemm,343648950,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,im2row,64345280,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,prelu,10884310,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,ternarize,388420353,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,alloc,25257,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,conv,808962080,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,gemm,344871319,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,im2row,64439839,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,prelu,10477851,512,2,16,128,128,3,3,1,1,48366880
data_order_nhwc,TNN,ternarize,388448974,512,2,16,128,128,3,3,1,1,48366880
ternary_nhwc,TNN,alloc,27001,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,conv,1650452766,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,gemm,734345161,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,im2row,127110403,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,prelu,10875666,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,ternarize,777288684,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,alloc,27263,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,conv,1648563844,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,gemm,731162013,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,im2row,127560199,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,prelu,10455741,1024,2,16,128,128,3,3,1,1,90442016
data_order_nhwc,TNN,ternarize,778554361,1024,2,16,128,128,3,3,1,1,90442016
ternary_nhwc,TNN,alloc,30311,2048,2,16,128,128,3,3,1,1,174592288
ternary_nhwc,TNN,conv,3252429013,2048,2,16,128,128,3,3,1,1,174592288
ternary_nhwc,TNN,gemm,1432278653,2048,2,16,128,128,3,3,1,1,174592288
ternary_nhwc,TNN,im2row,251035883,2048,2,16,128,128,3,3,1,1,174592288
ternary_nhwc,TNN,prelu,9582985,2048,2,16,128,128,3,3,1,1,174592288
ternary_nhwc,TNN,ternarize,1558470295,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc,TNN,alloc,28044,2048,2,16,128,128,3,3,1,1,174592288
data_order_nhwc,TNN,conv,3251792411,2048,2,16,128,128,3,3,1,1,174592288
