name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
ternary_nhwc,TNN,alloc,96,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,conv,30261502,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,gemm,16442326,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,im2row,2502976,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,prelu,818481,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,ternarize,10493535,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,alloc,51,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,conv,31026960,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,gemm,16385891,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,im2row,2495652,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,prelu,796162,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,ternarize,11344996,32,2,16,64,64,3,3,1,1,2892192
ternary_nhwc,TNN,alloc,446,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,conv,68147452,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,gemm,33876810,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,im2row,5149873,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,prelu,7464392,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,ternarize,21652282,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,alloc,144,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,conv,69548769,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,gemm,33846059,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,im2row,5167987,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,prelu,7053526,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,ternarize,23476948,32,2,16,92,92,3,3,1,1,5970848
ternary_nhwc,TNN,alloc,1166,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,conv,132036185,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,gemm,65648108,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,im2row,10053914,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,prelu,14404461,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,ternarize,41924134,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,alloc,997,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,conv,135107901,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,gemm,65619075,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,im2row,10042748,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,prelu,14069639,32,2,16,128,128,3,3,1,1,11551136
data_order_nhwc,TNN,ternarize,45370201,32,2,16,128,128,3,3,1,1,11551136
ternary_nhwc,TNN,alloc,118863,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,conv,308476221,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,gemm,150796315,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,im2row,26573219,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,prelu,34062785,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,ternarize,95440442,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,alloc,102161,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,conv,314681750,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,gemm,150369475,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,im2row,24217319,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,prelu,35000815,32,2,16,192,192,3,3,1,1,25977248
data_order_nhwc,TNN,ternarize,103604348,32,2,16,192,192,3,3,1,1,25977248
ternary_nhwc,TNN,alloc,41071,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,conv,547935484,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,gemm,268588786,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,im2row,45687306,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,prelu,61237840,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,ternarize,169825387,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,alloc,41053,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,conv,561364868,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,gemm,269439163,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,im2row,45775074,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,prelu,59518916,32,2,16,256,256,3,3,1,1,46170528
data_order_nhwc,TNN,ternarize,183952607,32,2,16,256,256,3,3,1,1,46170528
ternary_nhwc,TNN,alloc,36998,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,conv,1261410213,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,gemm,626922231,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,im2row,105169180,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,prelu,134623195,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,ternarize,392982144,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,alloc,35435,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,conv,1288409523,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,gemm,627740194,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,im2row,105102126,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,prelu,128024565,32,2,16,392,392,3,3,1,1,108230048
data_order_nhwc,TNN,ternarize,425876255,32,2,16,392,392,3,3,1,1,108230048
ternary_nhwc,TNN,alloc,51715,32,2,16,512,512,3,3,1,1,184615328
ternary_nhwc,TNN,conv,2155570562,32,2,16,512,512,3,3,1,1,184615328
ternary_nhwc,TNN,gemm,1066939088,32,2,16,512,512,3,3,1,1,184615328
ternary_nhwc,TNN,im2row,177703034,32,2,16,512,512,3,3,1,1,184615328
ternary_nhwc,TNN,prelu,238748519,32,2,16,512,512,3,3,1,1,184615328
ternary_nhwc,TNN,ternarize,669408050,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,alloc,50791,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,conv,2205850982,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,gemm,1068893447,32,2,16,512,512,3,3,1,1,184615328
data_order_nhwc,TNN,im2row,177787903,32,2,16,512,512,3,3,1,1,184615328
