name,ct,fn,cycles,channels,batch_size,kernel_number,input_height,input_width,kernel_height,kernel_width,padding_size,stride_size,bytes
nhwc_tmacro2,TNN,alloc,52,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,conv,7577332,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,gemm,2504716,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,im2row,363767,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,prelu,299880,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,ternarize,4406311,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,alloc,23,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,conv,20818868,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,gemm,11029429,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,im2row,1672472,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,prelu,526491,32,2,16,64,64,3,3,1,1,2892192
data_order_nhwc,TNN,ternarize,7587678,32,2,16,64,64,3,3,1,1,2892192
nhwc_tmacro2,TNN,alloc,258,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,conv,18251875,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,gemm,5146745,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,im2row,749581,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,prelu,3252067,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,ternarize,9100970,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,alloc,89,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,conv,46744226,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,gemm,22967952,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,im2row,3442144,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,prelu,4716915,32,2,16,92,92,3,3,1,1,5970848
data_order_nhwc,TNN,ternarize,15614009,32,2,16,92,92,3,3,1,1,5970848
nhwc_tmacro2,TNN,alloc,735,32,2,16,128,128,3,3,1,1,11551136
nhwc_tmacro2,TNN,conv,35681508,32,2,16,128,128,3,3,1,1,11551136
