N_BLOCK_SIZE,M_BLOCK_SIZE,K_BLOCK_SIZE,Runtime
1,1,2,22.600280284881592
1,1,4,20.961655616760254
1,1,8,21.39201307296753
1,1,16,20.10182476043701
1,1,32,20.680893421173096
1,2,2,22.57773232460022
1,2,4,20.99869418144226
1,2,8,21.073135137557983
1,2,16,20.269768476486206
1,2,32,20.53825879096985
1,4,2,22.544426441192627
1,4,4,21.10918927192688
1,4,8,21.405749797821045
1,4,16,21.217137575149536
1,4,32,20.495079040527344
1,8,2,22.550466299057007
1,8,4,25.531943321228027
1,8,8,20.508082628250122
1,8,16,20.219279289245605
1,8,32,21.07242727279663
1,16,2,22.42726469039917
1,16,4,21.103403329849243
1,16,8,20.68948745727539
1,16,16,20.25753116607666
1,16,32,20.615260362625122
1,32,2,22.516801118850708
1,32,4,27.166141748428345
1,32,8,20.569297075271606
1,32,16,20.264358520507812
1,32,32,20.64935874938965
1,64,2,22.422173500061035
1,64,4,20.855998754501343
1,64,8,20.742002248764038
1,64,16,20.088600158691406
1,64,32,20.449591398239136
1,128,2,22.357332944869995
1,128,4,20.863752841949463
1,128,8,20.805076599121094
1,128,16,20.101871013641357
1,128,32,20.45148253440857
1,256,2,22.341185331344604
1,256,4,27.222779035568237
1,256,8,20.714956283569336
1,256,16,20.077043294906616
1,256,32,20.473504066467285
1,512,2,22.37703800201416
1,512,4,27.227717876434326
1,512,8,20.732459545135498
1,512,16,20.05839991569519
1,512,32,20.447205305099487
2,1,2,22.776546955108643
2,1,4,27.303356170654297
2,1,8,20.623849868774414
2,1,16,20.508615493774414
2,1,32,20.804704427719116
2,2,2,22.68998646736145
2,2,4,25.53719711303711
2,2,8,20.727709770202637
2,2,16,20.545488595962524
2,2,32,20.934346675872803
2,4,2,22.931464195251465
2,4,4,25.58566117286682
2,4,8,21.913212776184082
2,4,16,20.672917366027832
2,4,32,20.899056434631348
2,8,2,22.82667064666748
2,8,4,27.367793083190918
2,8,8,20.96018648147583
2,8,16,20.382206201553345
2,8,32,22.320918798446655
2,16,2,22.70945930480957
2,16,4,21.581955432891846
2,16,8,21.241026878356934
2,16,16,20.37526774406433
2,16,32,20.7678804397583
2,32,2,22.727282524108887
2,32,4,21.14400625228882
2,32,8,20.705810546875
2,32,16,20.996421813964844
2,32,32,22.31033754348755
2,64,2,22.819156646728516
2,64,4,21.278740882873535
2,64,8,20.678866147994995
2,64,16,20.316176176071167
2,64,32,20.83768320083618
2,128,2,22.633968114852905
2,128,4,21.283206462860107
2,128,8,20.709287405014038
2,128,16,20.268513202667236
2,128,32,20.944013118743896
2,256,2,22.74818706512451
2,256,4,21.141655206680298
2,256,8,20.977444171905518
2,256,16,20.232430934906006
2,256,32,20.95711064338684
2,512,2,22.748029470443726
2,512,4,21.121575117111206
2,512,8,20.99389100074768
2,512,16,20.2302463054657
2,512,32,20.991267442703247
4,1,2,22.622882843017578
4,1,4,20.99591875076294
4,1,8,21.540300130844116
4,1,16,21.26131319999695
4,1,32,20.82180905342102
4,2,2,22.762309551239014
4,2,4,21.108458280563354
4,2,8,21.698596000671387
4,2,16,20.387437343597412
4,2,32,20.69210457801819
4,4,2,22.490222454071045
4,4,4,25.537460565567017
4,4,8,20.705275774002075
4,4,16,20.33496856689453
4,4,32,20.69594144821167
4,8,2,22.56491732597351
4,8,4,25.603625297546387
4,8,8,21.08385992050171
4,8,16,20.85923433303833
4,8,32,21.109444856643677
4,16,2,22.74690842628479
4,16,4,21.224000692367554
4,16,8,21.36044454574585
4,16,16,20.812880516052246
4,16,32,20.855968475341797
4,32,2,22.487914085388184
4,32,4,21.81932806968689
4,32,8,20.930826902389526
4,32,16,20.63379955291748
4,32,32,20.818444967269897
4,64,2,22.55487585067749
4,64,4,25.41228675842285
4,64,8,21.689616441726685
4,64,16,20.143064975738525
4,64,32,20.938151597976685
4,128,2,22.55535387992859
4,128,4,21.63034439086914
4,128,8,21.652077674865723
4,128,16,20.308762073516846
4,128,32,20.936979055404663
4,256,2,22.657823085784912
4,256,4,21.73664379119873
4,256,8,20.54707169532776
4,256,16,21.898069858551025
4,256,32,22.578147411346436
4,512,2,22.656810998916626
4,512,4,21.728857278823853
4,512,8,20.537822008132935
4,512,16,21.902099609375
4,512,32,22.61136555671692
8,1,2,23.133518934249878
8,1,4,26.853511333465576
8,1,8,20.830167531967163
8,1,16,21.335698127746582
8,1,32,22.1121609210968
8,2,2,23.20224952697754
8,2,4,21.5168936252594
8,2,8,20.59313654899597
8,2,16,20.237865209579468
8,2,32,20.60687780380249
8,4,2,23.07341504096985
8,4,4,25.080638647079468
8,4,8,22.020768880844116
8,4,16,21.21521544456482
8,4,32,22.22947382926941
8,8,2,23.18276596069336
8,8,4,26.758933544158936
8,8,8,20.5679988861084
8,8,16,20.399293184280396
8,8,32,21.137120246887207
8,16,2,23.18055272102356
8,16,4,26.68538546562195
8,16,8,20.769495487213135
8,16,16,20.713097095489502
8,16,32,20.607036590576172
8,32,2,23.158332109451294
8,32,4,21.491498231887817
8,32,8,20.53409767150879
8,32,16,20.452197790145874
8,32,32,20.912375450134277
8,64,2,22.768600940704346
8,64,4,21.341241359710693
8,64,8,20.748785734176636
8,64,16,20.30961775779724
8,64,32,22.12190270423889
8,128,2,22.921754837036133
8,128,4,21.647286415100098
8,128,8,21.277798175811768
8,128,16,20.28048086166382
8,128,32,20.900897979736328
8,256,2,23.216098308563232
8,256,4,26.832552433013916
8,256,8,21.505823373794556
8,256,16,20.25129246711731
8,256,32,20.818645000457764
8,512,2,23.434672117233276
8,512,4,26.82853627204895
8,512,8,21.501713752746582
8,512,16,20.245864152908325
8,512,32,20.811622858047485
16,1,2,22.82473111152649
16,1,4,26.95072603225708
16,1,8,21.19126057624817
16,1,16,20.38850235939026
16,1,32,21.239508867263794
16,2,2,22.78292942047119
16,2,4,21.525293111801147
16,2,8,20.974382400512695
16,2,16,20.473236083984375
16,2,32,20.913752555847168
16,4,2,22.72034740447998
16,4,4,21.840592861175537
16,4,8,20.87857747077942
16,4,16,20.194050788879395
16,4,32,20.787271738052368
16,8,2,22.683701515197754
16,8,4,24.851415395736694
16,8,8,21.158024072647095
16,8,16,20.354540824890137
16,8,32,22.183862924575806
16,16,2,22.581521034240723
16,16,4,24.866251707077026
16,16,8,23.328566074371338
16,16,16,20.562803745269775
16,16,32,21.321481227874756
16,32,2,22.869590520858765
16,32,4,22.06454300880432
16,32,8,22.05620813369751
16,32,16,20.415266752243042
16,32,32,21.200958013534546
16,64,2,22.837918043136597
16,64,4,22.451021194458008
16,64,8,20.881075382232666
16,64,16,20.361340761184692
16,64,32,21.21035075187683
16,128,2,22.895530700683594
16,128,4,21.987438917160034
16,128,8,20.822083473205566
16,128,16,20.277150869369507
16,128,32,23.04886269569397
16,256,2,22.849910020828247
16,256,4,22.43587017059326
16,256,8,21.22939705848694
16,256,16,20.176247596740723
16,256,32,21.48141312599182
16,512,2,22.865654706954956
16,512,4,22.43519163131714
16,512,8,21.20364260673523
16,512,16,20.17442297935486
16,512,32,21.47643518447876
32,1,2,22.717726945877075
32,1,4,26.349026441574097
32,1,8,20.769585371017456
32,1,16,20.583589792251587
32,1,32,21.122268438339233
32,2,2,22.53607487678528
32,2,4,22.06202793121338
32,2,8,21.68684673309326
32,2,16,20.21492886543274
32,2,32,20.6866192817688
32,4,2,22.6370747089386
32,4,4,21.071892261505127
32,4,8,20.720888376235962
32,4,16,20.24547004699707
32,4,32,20.88762092590332
32,8,2,22.909501552581787
32,8,4,21.080846071243286
32,8,8,20.94927954673767
32,8,16,20.324631214141846
32,8,32,20.69179940223694
32,16,2,22.49860668182373
32,16,4,26.380463361740112
32,16,8,20.675069570541382
32,16,16,20.169886589050293
32,16,32,20.90099287033081
32,32,2,22.55924677848816
32,32,4,22.45383381843567
32,32,8,21.02774405479431
32,32,16,20.403374195098877
32,32,32,21.263418197631836
32,64,2,22.756110429763794
32,64,4,21.21659755706787
32,64,8,21.453448057174683
32,64,16,20.321619510650635
32,64,32,20.891562938690186
32,128,2,22.894898176193237
32,128,4,21.224737405776978
32,128,8,20.80050778388977
32,128,16,20.30346179008484
32,128,32,20.896223545074463
32,256,2,22.759618043899536
32,256,4,21.37077045440674
32,256,8,20.711089611053467
32,256,16,20.568273782730103
32,256,32,20.89666175842285
32,512,2,22.759443998336792
32,512,4,24.834802865982056
32,512,8,22.310080528259277
32,512,16,20.26431155204773
32,512,32,22.220497608184814
64,1,2,22.566627502441406
64,1,4,26.227946043014526
64,1,8,20.685230016708374
64,1,16,20.161686897277832
64,1,32,20.68830442428589
64,2,2,22.598073959350586
64,2,4,21.118557453155518
64,2,8,20.6555335521698
64,2,16,20.55551528930664
64,2,32,20.542742013931274
64,4,2,22.51569962501526
64,4,4,22.59593892097473
64,4,8,21.376537799835205
64,4,16,20.465975284576416
64,4,32,22.040358543395996
64,8,2,22.683202505111694
64,8,4,21.167189598083496
64,8,8,21.080444812774658
64,8,16,20.34337854385376
64,8,32,20.84359908103943
64,16,2,22.481839895248413
64,16,4,21.000173807144165
64,16,8,21.59160089492798
64,16,16,20.09151577949524
64,16,32,20.74065613746643
64,32,2,22.488849878311157
64,32,4,21.342825412750244
64,32,8,21.314262628555298
64,32,16,20.430123329162598
64,32,32,20.769100427627563
64,64,2,22.4774968624115
64,64,4,25.995618104934692
64,64,8,21.093129873275757
64,64,16,20.232300758361816
64,64,32,20.901167154312134
64,128,2,22.66560983657837
64,128,4,25.99873185157776
64,128,8,21.47210192680359
64,128,16,20.142808198928833
64,128,32,20.772598266601562
64,256,2,22.5468966960907
64,256,4,21.171390056610107
64,256,8,21.503052234649658
64,256,16,20.234172582626343
64,256,32,22.07962393760681
64,512,2,22.47770857810974
64,512,4,21.16534924507141
64,512,8,21.482359647750854
64,512,16,20.279081106185913
64,512,32,20.59634804725647
128,1,2,22.420337677001953
128,1,4,21.289324522018433
